,HUISNR,PC
0,9,2984BG
1,2739,8901AE
2,629,8440AP
3,124,8800AC
4,12,9061AE
5,14,9044NR
6,2,8754LD
7,1,8397LJ
8,26,8629PH
9,2,8855CZ
10,7,9206AK
11,6,9207HE
12,107,9000AC
13,84,9076ZP
14,11,9288GJ
15,15,9205BD
16,60,8860AB
17,1,8517HA
18,19,8447EE
19,149,8500AC
20,9,8860AA
21,25,1948ND
22,91,9291CE
23,121,8456GD
24,12,8746NH
25,7,2742RA
26,2,9025BR
27,30,9035ED
28,66,8621CP
29,6,8391AH
30,12,9723JE
31,4,7921XC
32,13,9936BP
33,19,9967RA
34,60,9611AM
35,168,1811CP
36,164,1811CP
37,16,8071TD
38,4,8521NH
39,3,9646EA
40,107,9700AC
41,107,9700AC
42,16,9351SG
43,101,9744TS
44,2,7958VA
45,23,9400AA
46,7,9731AK
47,8216,9702KE
48,11,9744DS
49,39,6721JJ
50,18,9635AC
51,37,9363ZG
52,12,9001KE
53,110,9670AC
54,26,9728VP
55,32,8501SC
56,13,9671CA
57,71,9363ZH
58,15,8822WV
59,6,3208LJ
60,8725,3009AS
61,8,7833ZG
62,442,9700AK
63,71,3311JG
64,1,9979XX
65,7,9724AD
66,96,9700AB
67,10,9934CK
68,85,9600AB
69,3119,3301DC
70,6,3208LJ
71,46,9934RS
72,664,9700AR
73,5,9753TA
74,466,9600AL
75,99,9727AJ
76,144,9727AP
77,40001,6504AA
78,20,9936TG
79,18,9902SR
80,44,9628CP
81,22,9636HW
82,22,9636HW
83,14,9930AA
84,13,9671CA
85,125,9728CG
86,39,9700AA
87,52,9649HW
88,24,9950AA
89,96,9943PC
90,148,3881SL
91,28,9672AD
92,75,9281LC
93,11,1705JC
94,28,9982AX
95,246,9670AE
96,23,9723JC
97,32,9321HB
98,5,9742LA
99,22,2585GJ
100,4,9672BA
101,49,2533SG
102,58,9665MR
103,20,9672BN
104,109,9628CD
105,22,9636HW
106,123,9930AC
107,14,9930AA
108,14,9930AA
109,10,9934CK
110,5,9934AR
111,11,9670AA
112,37,9930AA
113,250,9930AG
114,123,9930AC
115,15,9561ZA
116,105,9648KK
117,423,9640AK
118,36,9712LG
119,123,9930AC
120,22,9649AJ
121,84,9636BT
122,9,9979XK
123,21,6827BJ
124,12,2952EH
125,63,7903AS
126,1116,7801BC
127,1298,1430BG
128,2,7825GS
129,121,1119RB
130,65,2991LJ
131,8,7908MZ
132,15,9411SB
133,9,9418TN
134,7,9206AK
135,501,5464PA
136,7,5993SL
137,5,4751XK
138,50,9765ZH
139,86,9230AB
140,5,7901TG
141,52,7963BZ
142,1019,7905SB
143,2,7761RA
144,20,7814XL
145,25,7958RS
146,12,7812HZ
147,9,7761RB
148,80,9403AD
149,10,9301ZJ
150,4,7833JA
151,16,7825AN
152,440,7770AK
153,10,9403DT
154,9634,3007AP
155,5,7924PG
156,4175,2980GD
157,252,8000AG
158,574,8000AN
159,27,3165AA
160,30,8064AK
161,3,8150AA
162,3,8150AA
163,23,8356EN
164,50,7710AB
165,131,3734EE
166,3,8150AA
167,5,8271RG
168,26,8131DP
169,36,8181JJ
170,26,8271RH
171,13,8050AA
172,252,8000AG
173,8,7739PL
174,8,7739PL
175,32,7701SE
176,2,7696BG
177,7,8013RK
178,14,7711GW
179,3,7955AA
180,66,7772KB
181,15,7921RV
182,1,8131WV
183,3,8102HX
184,15,8013RL
185,132,7324BD
186,111,7772NB
187,3,8150AA
188,30047,8003CA
189,4,7448RR
190,292,7600AG
191,21,7575ER
192,1,7460AA
193,202,7500AE
194,105,7587NG
195,202,7500AE
196,29,7602PD
197,18,7575ED
198,385,7600AJ
199,23,7575DB
200,29,7461TP
201,10,7543GT
202,8,7602PW
203,8,7532ST
204,219,1118BH
205,1333,7500BH
206,1333,7500BH
207,415,7570AK
208,215,7570AE
209,374,7570AJ
210,69497,1060CM
211,2,7575BP
212,30,7575DA
213,16,7547TB
214,13,7608RH
215,23,7575DB
216,332,7532SN
217,78,7590AB
218,1,7472DD
219,41,7511ZA
220,215,7570AE
221,22,7665ST
222,15,3851SL
223,6,1521RC
224,209,8096BJ
225,629,8440AP
226,629,8440AP
227,81,5342LW
228,339,5140AH
229,339,5140AH
230,339,5140AH
231,1,3849BM
232,16,7141ZT
233,6,7332BB
234,1050,3900BB
235,45,7130AA
236,24,6971BA
237,6,3016BD
238,18,7261AD
239,30,7122PW
240,2,7202CT
241,394,8901BD
242,70,7255ZH
243,1015,3840BA
244,100,5804AM
245,70,3860AB
246,8,7383CB
247,37,6981AD
248,7,6961DP
249,98,7241VM
250,14,7151HD
251,29,7325WZ
252,29,7325WZ
253,33,2161LE
254,54,7201EE
255,2120,7420AC
256,2,7231CP
257,8,3771MK
258,10,7572ZH
259,118,7630AC
260,20,3991VB
261,60,3882NJ
262,7,7604ER
263,1359,7500BJ
264,11,2391PZ
265,106,7547AL
266,23,7382AK
267,6,7091CS
268,81,7475ZH
269,41,5571KB
270,202,7500AE
271,202,7500AE
272,202,7500AE
273,12,7384SN
274,266,3845LD
275,82,8256ES
276,454,7602KM
277,71,8700AB
278,66,7390AB
279,202,7500AE
280,21,7630AA
281,6,3628AC
282,22,3771VT
283,28,7576EM
284,1,7556BP
285,33,8162XS
286,7,6921EW
287,17,7577JC
288,282,3880AG
289,34,8097SG
290,21,8242PE
291,156,7604BP
292,100,7554NB
293,101,3066GS
294,1,7491EZ
295,12,7312EH
296,40,7609SJ
297,22,3846BN
298,15,7621AX
299,4,7604BL
300,766,2132NM
301,53,7547TE
302,8,7391TW
303,3,7251LH
304,37,8081HB
305,14,7671NE
306,46,7671RE
307,1115,7301BJ
308,263,1792CJ
309,6,4043JD
310,11,8160AA
311,16,7611AG
312,16,3888MV
313,12,8162ET
314,1050,3160AG
315,2044,7420AA
316,14,8051KW
317,150,7544VV
318,99,7241MB
319,20,3774RA
320,8,7418BG
321,383,7300AJ
322,371,7460AJ
323,6,2033DA
324,101,7202CA
325,18,7547TB
326,64,3853TK
327,3,3785KX
328,23,7575AR
329,161,7770AD
330,2,7623CS
331,133,3771MA
332,18,6961PJ
333,37,7481RS
334,6,7631JC
335,25,7421ET
336,25,7421ET
337,9,8011RT
338,10,7521BE
339,1,7460AA
340,22,7554TX
341,9,3881LW
342,9,7597MD
343,40,7707ZG
344,13,1135GG
345,9,7041GX
346,89,6827AL
347,99,7040AB
348,22,5521DZ
349,53,5521DZ
350,74,6831AJ
351,45,6980AA
352,11,6673DP
353,187,6900AD
354,230,7040AE
355,57,3770AB
356,15,8255RN
357,19,6921RE
358,21,3770AA
359,65,6922JA
360,5,6909DZ
361,13,2950AA
362,43,6921RE
363,19,3774RA
364,501,7000AM
365,78,6902PK
366,1,6931SG
367,109,3771MA
368,3,3959BE
369,135,2131AR
370,2104,5600CC
371,7,5986PM
372,33,3771MA
373,1006,6920BA
374,23,7122ME
375,41,6666WS
376,760,2130AT
377,18,7040AA
378,18,7040AA
379,45,6980AA
380,45,6980AA
381,109,6843PP
382,90,6590AB
383,63,7040AB
384,54142,3008JC
385,21,6901JV
386,78,1412JL
387,2,7122NR
388,21,6691CT
389,6,7047CA
390,19,7031HH
391,4,7041BM
392,6,6640AA
393,104,6900AC
394,12,6915VJ
395,47,7256AA
396,14,6902PR
397,47,7100AA
398,26,6921GW
399,130,2678AG
400,194,6814GK
401,31,4879NE
402,2,2652XT
403,20,1047BM
404,2,7942KE
405,718,6710BS
406,44,7461AE
407,302,5680AH
408,2,9482WH
409,15,8501XJ
410,302,5680AH
411,1410,5688HA
412,46,9460AA
413,17,6996AA
414,89,6602DD
415,3,6581KX
416,540,7400AM
417,8,6121RE
418,18,7040AA
419,5,7047CC
420,2031,6536JK
421,211,6600AE
422,69,6828CD
423,4,6644BT
424,9,6611KA
425,45,6980AA
426,45,6980AA
427,8,6921RE
428,8,6921RE
429,58,6902PK
430,8,3991CS
431,43,7075ED
432,55,6681CW
433,3,6744PK
434,40119,6504AC
435,1154,6546AS
436,40070,6504AB
437,2162,6604LG
438,55,7131XL
439,2,6741HC
440,5,6716KC
441,117,6542JD
442,6,6544XK
443,2,6942SG
444,93,6733AD
445,1,6521BA
446,19,6957AB
447,40119,6504AC
448,17,6902PB
449,13,2950AA
450,38,6711HD
451,445,7535AZ
452,11,6731CL
453,50,6871XH
454,1105,6546AR
455,51,6741WJ
456,57,6524HV
457,9121,6537KJ
458,25,2526TM
459,8,6741EH
460,2414,6604LL
461,578,6710BN
462,21,6732GH
463,18,7037AB
464,51,6668CA
465,1014,6546BA
466,5,6744XA
467,136,6466GR
468,1,6525VK
469,28,6675AS
470,30,6661XG
471,4,6916ZG
472,10,6827BD
473,114,6601JD
474,47,7060AA
475,14,4033KN
476,24,6921RW
477,78,7051WS
478,2,9414TN
479,308,6541CD
480,46,7391ME
481,24,7418EW
482,63,6811HC
483,15,6641EL
484,7,7271LC
485,110,6814KN
486,40,7040AA
487,9,6644AR
488,79,6921RZ
489,10,6551AD
490,10,6731EK
491,17,6616AV
492,4,6545AG
493,18,6960AA
494,27,6987EA
495,27,4143BR
496,2,6718XA
497,10,4401EZ
498,26,6523LC
499,2,7007CN
500,9,6602ET
501,16,6673DV
502,2,6611BP
503,5,7061AA
504,1,7102EM
505,7308,5692HH
506,43,6603AV
507,14,6718XT
508,36,5234GM
509,29,6621BV
510,7946,6601RP
511,1012,3860BA
512,6729,6503GE
513,5,6611AH
514,74,6603BR
515,30,6602AV
516,40,6681LN
517,45,7091VJ
518,7,4941VX
519,102,6524MJ
520,19,6500AA
521,5,6581HN
522,10,6551DP
523,8761,5605LT
524,21,6604BT
525,41,4001XA
526,1,4104BC
527,67,5327AB
528,1,4152GC
529,26,4119LZ
530,41,5262GD
531,21,5308KD
532,125,4100AC
533,40,4013CS
534,29,4032NA
535,3,5320AA
536,24,4033BK
537,8,5324DD
538,31,5301LX
539,302,1082ME
540,61,3371SX
541,9,4191NZ
542,3,5311PC
543,23,4196AK
544,1,4021CL
545,20,4051BW
546,4,4116CE
547,42,4211CC
548,46,5317KR
549,5,4001CH
550,11,3016GM
551,7,2952CA
552,32,1118LB
553,5,4043LZ
554,1,4241XS
555,5322,3008AH
556,1,4191HE
557,4,4116CE
558,15,6669CA
559,1,5320AA
560,2,6659BP
561,3017,5203DA
562,59,5900AB
563,43,5800MA
564,244,2142LE
565,1603,5860AA
566,3335,5902RH
567,3137,5902RC
568,127,3300AC
569,17,5932CS
570,3,5801RV
571,2,5911JJ
572,3231,5902RE
573,152,5928RH
574,10,5862AT
575,27,5900AA
576,12,5961PX
577,3151,5902RD
578,3071,5902RB
579,7,3195ND
580,51,6120AB
581,2,1118LK
582,59,5900AB
583,163,1075GX
584,32,5931BX
585,3250,5902RG
586,8,5964PE
587,3301,5902RH
588,182,5900AD
589,4,6598DL
590,6,5928LL
591,6,5928LL
592,6,5928LL
593,6,5928LL
594,6,5928LL
595,304,1017RN
596,3,5916LD
597,1,5986NT
598,63,5931HM
599,3078,5930AB
600,3071,5902RB
601,27,5922ED
602,19,5993SL
603,19,5993SL
604,15,5521DZ
605,5171,3008AD
606,5171,3008AD
607,5171,3008AD
608,25,3165AC
609,5171,3008AD
610,5171,3008AD
611,21,5975RZ
612,148,5900AC
613,414,5900AK
614,114,6590AC
615,3071,5902RB
616,3231,5902RE
617,35,5807ES
618,40,6081PH
619,10301,6000GH
620,8063,5901AB
