Gemeente,CBS,Politie-eenheden
Aa en Hunze,1680,Noord-Nederland
Aalsmeer,0358,Amsterdam
Aalten,0197,Oost-Nederland
Achtkarspelen,0059,Noord-Nederland
Alblasserdam,0482,Rotterdam
Albrandswaard,0613,Rotterdam
Alkmaar,0361,Noord-Holland
Almelo,0141,Oost-Nederland
Almere,0034,Midden-Nederland
Alphen aan den Rijn,0484,Den Haag
Alphen-Chaam,1723,Zeeland - West-Brabant
Altena,1959,Zeeland - West-Brabant
Ameland,0060,Noord-Nederland
Amersfoort,0307,Midden-Nederland
Amstelveen,0362,Amsterdam
Amsterdam,0363,Amsterdam
Apeldoorn,0200,Oost-Nederland
Appingedam,0003,Noord-Nederland
Arnhem,0202,Oost-Nederland
Assen,0106,Noord-Nederland
Asten,0743,Oost-Brabant
Baarle-Nassau,0744,Zeeland - West-Brabant
Baarn,0308,Midden-Nederland
Barendrecht,0489,Rotterdam
Barneveld,0203,Oost-Nederland
Beek,0888,Limburg
Beekdaelen,1954,Limburg
Beemster,0370,Noord-Holland
Beesel,0889,Limburg
Berg en Dal,1945,Oost-Nederland
Bergeijk,1724,Oost-Brabant
Bergen (L),0893,Limburg
Bergen (NH),0373,Noord-Holland
Bergen op Zoom,0748,Zeeland - West-Brabant
Berkelland,1859,Oost-Nederland
Bernheze,1721,Oost-Brabant
Best,0753,Oost-Brabant
Beuningen,0209,Oost-Nederland
Beverwijk,0375,Noord-Holland
Bladel,1728,Oost-Brabant
Blaricum,0376,Midden-Nederland
Bloemendaal,0377,Noord-Holland
Bodegraven-Reeuwijk,1901,Den Haag
Boekel,0755,Oost-Brabant
Borger-Odoorn,1681,Noord-Nederland
Borne,0147,Oost-Nederland
Borsele,0654,Zeeland - West-Brabant
Boxmeer,0756,Oost-Brabant
Boxtel,0757,Oost-Brabant
Breda,0758,Zeeland - West-Brabant
Brielle,0501,Rotterdam
Bronckhorst,1876,Oost-Nederland
Brummen,0213,Oost-Nederland
Brunssum,0899,Limburg
Bunnik,0312,Midden-Nederland
Bunschoten,0313,Midden-Nederland
Buren,0214,Oost-Nederland
Capelle aan den IJssel,0502,Rotterdam
Castricum,0383,Noord-Holland
Coevorden,0109,Noord-Nederland
Cranendonck,1706,Oost-Brabant
Cuijk,1684,Oost-Brabant
Culemborg,0216,Oost-Nederland
Dalfsen,0148,Oost-Nederland
Dantumadiel,1891,Noord-Nederland
De Bilt,0310,Midden-Nederland
De Fryske Marren,1940,Noord-Nederland
De Ronde Venen,0736,Midden-Nederland
De Wolden,1690,Noord-Nederland
Delft,0503,Den Haag
Delfzijl,0010,Noord-Nederland
Den Helder,0400,Noord-Holland
Deurne,0762,Oost-Brabant
Deventer,0150,Oost-Nederland
Diemen,0384,Amsterdam
Dinkelland,1774,Oost-Nederland
Doesburg,0221,Oost-Nederland
