VGNUMMER,RV,inOnderzoek,gebruiksdoel,oppervlakte,vbloStatus,C_HOOFDACT,NEVEN1,NEVEN2,reg_date,emp_class,inNiwo,inFenex
000018080715,41,False,kantoorfunctie,214,in gebruik,H,,,21-05-2001,05,0,0
000015881202,41,False,kantoorfunctie,394,in gebruik,H,N,N,14-12-1972,01,0,0
000015998142,41,False,industriefunctie,5154,in gebruik,H,C,H,14-12-1972,06,1,0
000017297222,41,False,kantoorfunctie,278,in gebruik,H,,,02-05-1983,04,1,0
000017633524,41,False,overige gebruiksfunctie,97,in gebruik,H,H,H,23-03-1988,01,0,0
000004659244,41,False,woonfunctie,158,in gebruik,M,H,,08-03-1989,01,0,0
000005974542,11,False,woonfunctie,234,in gebruik,G,H,,22-03-1990,04,0,0
000015941477,41,False,industriefunctie,166,in gebruik,H,H,M,18-06-2007,01,0,0
000012027863,11,False,woonfunctie,118,in gebruik,H,,,14-12-1995,03,0,0
000017586364,41,False,kantoorfunctie,305,in gebruik,H,H,N,09-04-1996,06,0,0
000003528863,41,False,industriefunctie,134,in gebruik,H,,,04-09-1996,03,0,0
000019203470,41,False,industriefunctie,816,in gebruik,H,M,,27-11-1996,04,0,0
000020532962,41,False,industriefunctie,2599,in gebruik,H,G,,06-02-1997,06,1,0
000006718639,41,False,kantoorfunctie,401,in gebruik,H,,,10-03-1998,03,0,0
000003282422,01,False,woonfunctie,131,in gebruik,H,,,09-02-1999,02,0,0
000005950155,11,False,woonfunctie,157,in gebruik,H,,,15-10-1999,03,0,0
000019622244,41,False,kantoorfunctie,5568,in gebruik,H,H,M,24-02-2000,04,0,0
000007894325,01,False,woonfunctie,118,in gebruik,G,H,H,08-05-2000,01,0,0
000003620964,01,False,woonfunctie,108,in gebruik,H,,,20-07-2000,02,0,0
000019594747,41,False,kantoorfunctie,2600,in gebruik,H,H,H,08-09-2003,05,0,1
000019145306,41,False,kantoorfunctie,1185,in gebruik,H,,,17-05-2004,04,0,0
000043067735,41,False,industriefunctie,290,in gebruik,H,,,17-05-2004,04,0,0
000014853191,01,False,woonfunctie,206,in gebruik,H,,,14-03-2005,02,0,0
000015663116,41,False,woonfunctie,167,in gebruik,H,H,,13-10-2005,06,0,0
000012857114,01,False,woonfunctie,573,in gebruik,H,M,,25-10-2005,02,0,0
000015917630,41,False,industriefunctie,7254,in gebruik,H,,,17-05-2019,02,0,0
000005239958,11,False,kantoorfunctie,2197,in gebruik,L,H,,27-06-2006,03,0,0
000018934102,41,False,overige gebruiksfunctie,425,in gebruik,H,,,26-04-2007,02,0,0
000001679597,01,False,woonfunctie,114,in gebruik,H,,,08-05-2007,02,0,0
000006086381,01,False,woonfunctie,230,in gebruik,H,H,,15-06-2007,02,0,0
000017013852,41,False,industriefunctie,5904,in gebruik,H,,,28-12-2007,01,0,0
000013728008,41,False,woonfunctie,165,in gebruik,H,,,12-02-2008,02,0,0
000004629248,41,False,industriefunctie,11600,in gebruik,H,,,13-03-2008,04,0,0
000018702767,41,False,woonfunctie,153,in gebruik,H,,,28-04-2008,02,0,0
000008964181,01,False,woonfunctie,212,in gebruik,H,,,26-05-2008,02,0,0
000009908862,41,False,kantoorfunctie,188,ingetrokken,H,,,09-03-2017,04,0,0
000009908889,41,False,kantoorfunctie,243,in gebruik,H,,,09-03-2017,04,0,0
000011870516,01,False,woonfunctie,164,in gebruik,H,,,05-02-2019,02,0,0
000002830272,01,False,woonfunctie,250,in gebruik,G,C,H,04-08-2008,02,0,0
000002252309,41,False,woonfunctie,163,in gebruik,H,H,G,11-09-2008,02,1,0
000016311728,41,False,kantoorfunctie,1156,in gebruik,H,,,24-12-2008,01,0,0
000015788199,41,False,kantoorfunctie,1156,in gebruik,H,,,24-12-2008,01,0,0
000014378914,41,False,woonfunctie,154,in gebruik,H,H,,31-12-2008,01,0,0
000020235615,41,False,industriefunctie,3027,in gebruik,H,,,31-12-2008,06,0,0
000008956472,01,False,woonfunctie,149,in gebruik,H,,,02-01-2009,03,1,0
000001711687,01,False,industriefunctie,300,in gebruik,H,F,,12-01-2009,02,0,0
000019407637,41,False,industriefunctie,1980,in gebruik,H,,,16-01-2009,01,0,0
000007130635,41,False,kantoorfunctie,173,in gebruik,H,,,27-02-2009,05,0,0
000001710850,01,False,woonfunctie,153,in gebruik,H,N,,03-03-2009,02,0,0
000014602822,01,False,woonfunctie,85,in gebruik,H,M,,08-02-2019,02,0,0
000009666567,01,False,woonfunctie,103,in gebruik,H,,,12-05-2009,02,0,0
000002888386,11,False,industriefunctie,27,in gebruik,G,H,H,24-06-2009,03,1,0
000015928713,41,False,woonfunctie,115,in gebruik,M,M,H,01-07-2009,01,0,0
000011222409,41,False,industriefunctie,802,in gebruik,H,K,,10-08-2009,01,1,0
000016510070,11,False,woonfunctie,135,in gebruik,M,M,H,16-09-2009,02,1,0
000011291893,01,False,woonfunctie,123,in gebruik,H,,,01-10-2009,02,0,0
000012760765,41,False,kantoorfunctie,605,in gebruik,H,,,17-11-2009,01,0,0
000010126015,01,False,woonfunctie,109,in gebruik,H,F,,02-02-2010,02,0,0
000011176342,01,False,woonfunctie,173,in gebruik,H,,,12-03-2010,02,0,0
000036002259,41,False,industriefunctie,13200,in gebruik,H,,,27-04-2010,04,0,0
000019956339,41,False,kantoorfunctie,1511,in gebruik,H,,,22-06-2011,03,0,0
000008167540,01,False,logiesfunctie,56,in gebruik,H,H,,,,0,0
000012683981,41,False,woonfunctie,194,in gebruik,H,H,H,22-05-1945,06,0,0
000017574013,41,False,kantoorfunctie,325,in gebruik,H,H,K,04-03-2005,01,0,0
000019877773,41,False,overige gebruiksfunctie,16,ingetrokken,H,H,G,12-06-1978,04,0,0
000015118355,41,False,woonfunctie,381,in gebruik,H,G,,12-04-1985,01,0,0
000018190324,41,False,industriefunctie,66500,in gebruik (niet ingemeten),H,H,,,,0,0
000018809375,41,False,woonfunctie,261,in gebruik,H,L,,15-12-1986,05,0,0
000018809650,41,False,industriefunctie,5147,in gebruik,H,H,,15-12-1986,05,0,0
000020111282,41,False,kantoorfunctie,14060,in gebruik,H,,,29-12-1999,07,0,0
000024845523,41,False,industriefunctie,13200,in gebruik,H,,,29-12-1999,07,0,0
000003036642,01,False,woonfunctie,196,in gebruik,H,H,,27-02-1990,03,0,0
000018778909,41,False,winkelfunctie,20352,in gebruik,H,G,,28-08-1990,06,0,0
000018535593,41,False,winkelfunctie,642,in gebruik,H,,,13-08-1992,02,0,0
000017156092,41,False,industriefunctie,4963,in gebruik,H,H,G,28-05-1993,05,1,0
000009353445,41,False,woonfunctie,194,in gebruik,H,H,,04-11-1993,05,1,0
000019316836,41,False,woonfunctie,80,in gebruik,H,H,,02-12-1993,05,1,0
000018330460,41,False,kantoorfunctie,1348,in gebruik,H,H,,05-08-2005,01,0,0
000016529545,41,False,industriefunctie,2212,in gebruik,H,E,H,27-03-1997,01,0,0
000030019818,41,False,kantoorfunctie,972,in gebruik,H,E,,27-03-1997,01,0,0
000019905335,41,False,industriefunctie,638,in gebruik,H,,,25-09-1997,01,0,0
000016927680,41,False,industriefunctie,4400,in gebruik,H,,,04-08-1998,02,0,0
000017431344,41,False,industriefunctie,4400,in gebruik,H,,,04-08-1998,05,0,0
000020238738,41,False,woonfunctie,261,in gebruik,H,,,08-02-1999,03,0,1
000019540957,41,False,kantoorfunctie,605,in gebruik,H,,,23-09-1999,03,0,0
000010378294,01,False,woonfunctie,89,in gebruik,H,,,11-10-1999,02,1,0
000005023742,01,False,woonfunctie,158,in gebruik,H,N,G,17-03-2000,02,0,0
000002610795,41,False,woonfunctie,158,in gebruik,N,H,H,10-04-2001,05,1,0
000017811538,41,False,industriefunctie,1244,in gebruik,H,,,24-09-2001,03,1,0
000013734598,01,False,woonfunctie,101,in gebruik,H,H,,10-03-2003,02,0,0
000018748694,41,False,industriefunctie,7567,in gebruik,H,,,24-02-2015,05,0,0
000010560246,41,False,industriefunctie,396,in gebruik,H,K,,13-06-2017,02,0,0
000003523446,01,False,woonfunctie,40,ingetrokken,H,,,,,0,0
000011092912,41,False,woonfunctie,180,in gebruik,H,,,03-04-2006,02,0,0
000012762695,01,False,woonfunctie,192,in gebruik,H,N,M,06-05-2005,03,1,0
000018472052,41,False,kantoorfunctie,1802,in gebruik (niet ingemeten),H,,,11-05-2005,02,1,0
000016285247,41,False,industriefunctie,148,in gebruik,H,,,02-06-2005,02,1,0
000019477082,41,False,woonfunctie,843,in gebruik,N,G,H,15-06-2005,01,0,0
,74,False,woonfunctie,52,in gebruik,H,,,"ull,""emplo",01,0,0
000015807975,41,False,woonfunctie,447,in gebruik,H,,,03-02-2017,01,0,0
000014913232,01,False,industriefunctie,6754,in gebruik,H,G,,17-08-2006,03,1,0
000009185321,01,False,woonfunctie,143,in gebruik,H,,,13-07-2017,02,0,0
000003828573,01,False,woonfunctie,284,in gebruik,J,H,,23-02-2007,02,1,0
000011433108,41,False,kantoorfunctie,195,in gebruik,H,G,K,18-06-2007,04,0,0
000018646301,41,False,winkelfunctie,276,in gebruik,H,H,,22-11-2007,02,1,0
000018012248,41,False,industriefunctie,4400,in gebruik,H,,,22-11-2007,01,0,0
000017651018,41,False,industriefunctie,6411,in gebruik,H,H,,17-05-1921,06,0,0
000018339689,41,False,woonfunctie,261,in gebruik,H,,,05-05-1934,01,0,0
000018979297,41,False,woonfunctie,261,in gebruik,H,N,,"ull,""emplo",09,0,0
000017812992,41,False,woonfunctie,261,in gebruik,H,H,H,14-04-1960,01,0,0
000018353533,41,False,industriefunctie,6411,in gebruik,H,H,,,,0,0
000013948164,41,False,industriefunctie,698,in gebruik,H,H,,20-04-1994,02,0,0
000002491664,41,False,woonfunctie,80,in gebruik,H,,,22-09-1978,04,1,0
000019277466,41,False,onderwijsfunctie,1424,in gebruik (niet ingemeten),H,,,03-12-1980,01,1,0
000020494688,41,False,industriefunctie,6411,in gebruik,H,,,23-02-1989,01,0,0
000019847475,41,False,woonfunctie,225,in gebruik,H,N,,08-07-1992,01,0,0
000015444759,01,False,woonfunctie,430,in gebruik,H,,,29-06-1993,02,0,0
000002485850,41,False,woonfunctie,126,in gebruik,H,,,30-06-1993,03,0,0
000010985956,41,False,woonfunctie,147,in gebruik,H,,,21-06-1994,02,0,0
000005230403,41,False,industriefunctie,6411,in gebruik,H,,,29-06-1995,01,0,0
000001386492,01,False,woonfunctie,108,in gebruik,H,,,25-09-1996,02,0,0
000004265483,01,False,woonfunctie,167,in gebruik,H,,,23-01-1997,02,0,0
000019408110,41,False,kantoorfunctie,716,in gebruik,H,,,10-11-1997,04,0,0
000018131794,41,False,winkelfunctie,513,in gebruik,H,H,,09-02-2018,05,1,0
000017365155,41,False,woonfunctie,215,in gebruik,H,H,,12-04-2001,03,1,0
000015892123,41,False,industriefunctie,928,in gebruik,H,H,,30-08-1990,03,0,0
000017851017,41,False,winkelfunctie,163,in gebruik,H,H,,05-09-1990,05,0,0
000019639465,41,False,overige gebruiksfunctie,4451,in gebruik (niet ingemeten),H,H,,07-11-2016,07,0,0
000018147860,41,False,industriefunctie,600,in gebruik,H,N,,28-05-1991,05,0,1
000027192792,41,False,kantoorfunctie,1088,in gebruik,H,,,28-05-1991,05,0,1
000027192806,41,False,kantoorfunctie,250,in gebruik,H,,,28-05-1991,05,0,1
000012955779,01,False,woonfunctie,210,in gebruik,H,N,,28-09-1992,02,0,0
000016399048,41,False,industriefunctie,824,in gebruik,H,H,G,06-04-1993,03,0,0
000015186911,01,False,woonfunctie,130,in gebruik,H,N,,28-03-1994,02,1,0
000018025153,41,False,industriefunctie,134,in gebruik,H,,,22-01-1998,01,0,0
000003348385,41,False,woonfunctie,181,in gebruik,H,,,11-06-2015,01,0,0
000020093039,41,False,onderwijsfunctie,2855,in gebruik,H,,,30-12-2010,01,0,0
000000174564,41,False,industriefunctie,15081,in gebruik,H,M,,02-11-2016,06,0,0
000001336894,51,False,kantoorfunctie,840,in gebruik,H,H,H,29-11-1995,07,0,0
000018691536,41,False,industriefunctie,816,in gebruik,H,H,,21-08-2007,04,1,0
000016044584,41,False,industriefunctie,5478,in gebruik,H,G,N,06-01-2000,01,0,0
000002498375,41,False,woonfunctie,196,in gebruik,H,H,,19-04-2000,05,1,0
000018145736,41,False,industriefunctie,1140,in gebruik,G,H,,03-05-2000,03,0,0
000039149269,41,False,industriefunctie,239,in gebruik,H,,,16-02-2018,01,0,0
000009042970,01,False,industriefunctie,114,in gebruik,H,H,H,25-01-2001,04,0,0
000015890880,41,False,woonfunctie,278,in gebruik,H,H,,02-02-2004,03,0,0
000018629792,41,False,industriefunctie,343,in gebruik,C,H,,13-02-2001,01,0,0
000020466781,41,False,industriefunctie,63,in gebruik,H,H,G,20-02-2001,03,0,0
000010749101,41,False,industriefunctie,3074,in gebruik,H,H,,19-03-2001,08,0,0
000018053726,41,False,industriefunctie,104,in gebruik,H,,,04-06-2002,04,1,0
000011588209,01,False,woonfunctie,429,in gebruik,M,H,,08-07-2002,03,0,0
000004327799,01,False,industriefunctie,120,in gebruik,H,,,24-02-2003,04,0,0
000019986513,41,False,industriefunctie,5599,in gebruik,H,,,11-11-2015,01,0,0
000010301976,01,False,kantoorfunctie,179,ingetrokken,H,,,18-03-2005,03,0,0
000019404557,41,False,kantoorfunctie,168,in gebruik,H,H,,14-04-2005,04,0,1
000003131807,01,False,woonfunctie,423,in gebruik,H,F,,27-08-2007,02,0,0
000008086575,41,False,overige gebruiksfunctie,2690,in gebruik,H,,,01-10-2007,04,0,0
000019978359,41,False,industriefunctie,26351,in gebruik,H,H,,07-02-1941,01,0,0
000007045808,41,False,industriefunctie,1029,in gebruik,H,H,,,,0,0
000015784770,41,False,industriefunctie,4396,in gebruik,H,,,21-07-1972,06,1,0
000017210127,41,False,woonfunctie,213,in gebruik,G,H,,07-04-1975,04,0,0
