DOSSIER,VGNUMMER,HN45,PCVA,STRAAT_VA,HUISNR_VA,TOEV_VA,PC_VA,PLAATS_VA,RV,URL,inOnderzoek,gebruiksdoel,oppervlakte,vbloStatus,C_HOOFDACT,NEVEN1,NEVEN2,reg_date,emp_class,inNiwo,inFenex
01016460,000018080715,Falco Lines B.V.,2984BG,Ridderpoort,9,,2984BG,Ridderkerk,41,www.falcolines.nl,0.0,kantoorfunctie,214.0,in gebruik,H,,,2001-05-21,5,0,0
01036591,000015881202,Distributie en Container Centrum B.V.,8911AW,Willemskade,1,,8911AW,Leeuwarden,41,,0.0,kantoorfunctie,394.0,in gebruik,H,N,N,1972-12-14,1,0,0
01038431,000015998142,Pax Bouw en Industrieservice B.V.,8448CN,Neptunus,2,,8448CN,Heerenveen,41,www.paxbis.nl,0.0,industriefunctie,5154.0,in gebruik,H,C,H,1972-12-14,6,1,0
01049319,000017297222,Water-Land Bevrachtingen B.V.,8801JK,Prins Hendrikkade,3,-Unit 1,8801JK,Franeker,41,www.water-land.nl,0.0,kantoorfunctie,278.0,in gebruik,H,,,1983-02-05,4,1,0
01056343,000017633524,"Koel-, Vries- en Opslagbedrijf Gosliga B.V.",9061AE,Rinia van Nautaweg,12,,9061AE,Gytsjerk,41,,0.0,overige gebruiksfunctie,97.0,in gebruik,H,H,H,1988-03-23,1,0,0
01057929,000004659244,Vriwie Beheer B.V.,9044NR,De Tolve,14,,9044NR,Bitgum,41,,0.0,woonfunctie,158.0,in gebruik,M,H,,1989-08-03,1,0,0
01059705,000005974542,Doedel Agenturen HVL,8754LD,Menziessingel,2,,8754LD,Makkum,11,www.doedelagenturen.nl,0.0,woonfunctie,234.0,in gebruik,G,H,,1990-03-22,4,0,0
01059721,000015941477,Flobbe Transport B.V.,8397LJ,Engelsesteeg,1,,8397LJ,De Blesse,41,,0.0,industriefunctie,166.0,in gebruik,H,H,M,2007-06-18,1,0,0
01073381,000012027863,V.O.F. P. Bremer Transport Bemiddeling,8629PH,Waldastrjitte,26,,8629PH,Scharnegoutum,11,,0.0,woonfunctie,118.0,in gebruik,H,,,1995-12-14,3,0,0
01074543,000017586364,(S.T.S.) Stevedoring Transport Shipping B.V.,8855CZ,Boargemaster Dukerstr,2,,8855CZ,Sexbierum,41,,0.0,kantoorfunctie,305.0,in gebruik,H,H,N,1996-09-04,6,0,0
01075732,000003528863,Vn Douane Agent B.V.,9206AK,De Roef,7,a,9206AK,Drachten,41,,0.0,industriefunctie,134.0,in gebruik,H,,,1996-04-09,3,0,0
01076443,000019203470,I.T.S. Holwerd B.V.,9207HE,Fahrenheitlaan,6,H,9207HE,Drachten-Azeven,41,,0.0,industriefunctie,816.0,in gebruik,H,M,,1996-11-27,4,0,0
01077124,000020532962,Kooiker Distributie B.V.,9001XW,De Finnen,3,,9001XW,Grou,41,www.kooikerdistributie.nl,0.0,industriefunctie,2599.0,in gebruik,H,G,,1997-06-02,6,1,0
01080805,000006718639,JDV Logistics,9076PD,De Draai,5,,9076PD,St.-Annaparochie,41,www.jdv-transport.com,0.0,kantoorfunctie,401.0,in gebruik,H,,,1998-10-03,3,0,0
01083826,000003282422,Pool Cargo Service,9288GJ,Opperkoatsterwei,11,,9288GJ,Kootstertille,1,,0.0,woonfunctie,131.0,in gebruik,H,,,1999-09-02,2,0,0
01086273,000005950155,Hoekman Transport Bemiddeling,9205BD,Voorhuis,15,,9205BD,Drachten,11,,0.0,woonfunctie,157.0,in gebruik,H,,,1999-10-15,3,0,0
