VGNUMMER,inOnderzoek,gebruiksdoel_bijeenkomstfunctie,gebruiksdoel_celfunctie,gebruiksdoel_gezondheidszorgfunctie,gebruiksdoel_industriefunctie,gebruiksdoel_kantoorfunctie,gebruiksdoel_logiesfunctie,gebruiksdoel_onderwijsfunctie,gebruiksdoel_overige gebruiksfunctie,gebruiksdoel_sportfunctie,gebruiksdoel_winkelfunctie,gebruiksdoel_woonfunctie
000018080715,0.0,0,0,0,0,1,0,0,0,0,0,0
000015881202,0.0,0,0,0,0,1,0,0,0,0,0,0
000015998142,0.0,0,0,0,1,0,0,0,0,0,0,0
000017297222,0.0,0,0,0,0,1,0,0,0,0,0,0
000017633524,0.0,0,0,0,0,0,0,0,1,0,0,0
000004659244,0.0,0,0,0,0,0,0,0,0,0,0,1
000005974542,0.0,0,0,0,0,0,0,0,0,0,0,1
000015941477,0.0,0,0,0,1,0,0,0,0,0,0,0
000012027863,0.0,0,0,0,0,0,0,0,0,0,0,1
000017586364,0.0,0,0,0,0,1,0,0,0,0,0,0
000003528863,0.0,0,0,0,1,0,0,0,0,0,0,0
000019203470,0.0,0,0,0,1,0,0,0,0,0,0,0
000020532962,0.0,0,0,0,1,0,0,0,0,0,0,0
000006718639,0.0,0,0,0,0,1,0,0,0,0,0,0
000003282422,0.0,0,0,0,0,0,0,0,0,0,0,1
000005950155,0.0,0,0,0,0,0,0,0,0,0,0,1
000019622244,0.0,0,0,0,0,1,0,0,0,0,0,0
000007894325,0.0,0,0,0,0,0,0,0,0,0,0,1
000003620964,0.0,0,0,0,0,0,0,0,0,0,0,1
000019594747,0.0,0,0,0,0,1,0,0,0,0,0,0
000019145306,0.0,0,0,0,0,1,0,0,0,0,0,0
000043067735,0.0,0,0,0,1,0,0,0,0,0,0,0
000014853191,0.0,0,0,0,0,0,0,0,0,0,0,1
000015663116,0.0,0,0,0,0,0,0,0,0,0,0,1
000012857114,0.0,0,0,0,0,0,0,0,0,0,0,1
000015917630,0.0,0,0,0,1,0,0,0,0,0,0,0
000005239958,0.0,0,0,0,0,1,0,0,0,0,0,0
000018934102,0.0,0,0,0,0,0,0,0,1,0,0,0
000001679597,0.0,0,0,0,0,0,0,0,0,0,0,1
000006086381,0.0,0,0,0,0,0,0,0,0,0,0,1
000017013852,0.0,0,0,0,1,0,0,0,0,0,0,0
000013728008,0.0,0,0,0,0,0,0,0,0,0,0,1
000004629248,0.0,0,0,0,1,0,0,0,0,0,0,0
000018702767,0.0,0,0,0,0,0,0,0,0,0,0,1
000008964181,0.0,0,0,0,0,0,0,0,0,0,0,1
000009908862,0.0,0,0,0,0,1,0,0,0,0,0,0
000009908889,0.0,0,0,0,0,1,0,0,0,0,0,0
000011870516,0.0,0,0,0,0,0,0,0,0,0,0,1
000002830272,0.0,0,0,0,0,0,0,0,0,0,0,1
000002252309,0.0,0,0,0,0,0,0,0,0,0,0,1
000016311728,0.0,0,0,0,0,1,0,0,0,0,0,0
000015788199,0.0,0,0,0,0,1,0,0,0,0,0,0
000014378914,0.0,0,0,0,0,0,0,0,0,0,0,1
000020235615,0.0,0,0,0,1,0,0,0,0,0,0,0
000008956472,0.0,0,0,0,0,0,0,0,0,0,0,1
000001711687,0.0,0,0,0,1,0,0,0,0,0,0,0
000019407637,0.0,0,0,0,1,0,0,0,0,0,0,0
000007130635,0.0,0,0,0,0,1,0,0,0,0,0,0
000001710850,0.0,0,0,0,0,0,0,0,0,0,0,1
000014602822,0.0,0,0,0,0,0,0,0,0,0,0,1
000009666567,0.0,0,0,0,0,0,0,0,0,0,0,1
000002888386,0.0,0,0,0,1,0,0,0,0,0,0,0
000015928713,0.0,0,0,0,0,0,0,0,0,0,0,1
000011222409,0.0,0,0,0,1,0,0,0,0,0,0,0
000016510070,0.0,0,0,0,0,0,0,0,0,0,0,1
000011291893,0.0,0,0,0,0,0,0,0,0,0,0,1
000012760765,0.0,0,0,0,0,1,0,0,0,0,0,0
000010126015,0.0,0,0,0,0,0,0,0,0,0,0,1
000011176342,0.0,0,0,0,0,0,0,0,0,0,0,1
000036002259,0.0,0,0,0,1,0,0,0,0,0,0,0
000019956339,0.0,0,0,0,0,1,0,0,0,0,0,0
000008167540,0.0,0,0,0,0,0,1,0,0,0,0,0
000012683981,0.0,0,0,0,0,0,0,0,0,0,0,1
000017574013,0.0,0,0,0,0,1,0,0,0,0,0,0
000019877773,0.0,0,0,0,0,0,0,0,1,0,0,0
000015118355,0.0,0,0,0,0,0,0,0,0,0,0,1
000018190324,0.0,0,0,0,1,0,0,0,0,0,0,0
000018809375,0.0,0,0,0,0,0,0,0,0,0,0,1
000018809650,0.0,0,0,0,1,0,0,0,0,0,0,0
000020111282,0.0,0,0,0,0,1,0,0,0,0,0,0
000024845523,0.0,0,0,0,1,0,0,0,0,0,0,0
000003036642,0.0,0,0,0,0,0,0,0,0,0,0,1
000018778909,0.0,0,0,0,0,0,0,0,0,0,1,0
000018535593,0.0,0,0,0,0,0,0,0,0,0,1,0
000017156092,0.0,0,0,0,1,0,0,0,0,0,0,0
000009353445,0.0,0,0,0,0,0,0,0,0,0,0,1
000019316836,0.0,0,0,0,0,0,0,0,0,0,0,1
000018330460,0.0,0,0,0,0,1,0,0,0,0,0,0
000016529545,0.0,0,0,0,1,0,0,0,0,0,0,0
000030019818,0.0,0,0,0,0,1,0,0,0,0,0,0
000019905335,0.0,0,0,0,1,0,0,0,0,0,0,0
000016927680,0.0,0,0,0,1,0,0,0,0,0,0,0
000017431344,0.0,0,0,0,1,0,0,0,0,0,0,0
000020238738,0.0,0,0,0,0,0,0,0,0,0,0,1
000019540957,0.0,0,0,0,0,1,0,0,0,0,0,0
000010378294,0.0,0,0,0,0,0,0,0,0,0,0,1
000005023742,0.0,0,0,0,0,0,0,0,0,0,0,1
000002610795,0.0,0,0,0,0,0,0,0,0,0,0,1
000017811538,0.0,0,0,0,1,0,0,0,0,0,0,0
000013734598,0.0,0,0,0,0,0,0,0,0,0,0,1
000018748694,0.0,0,0,0,1,0,0,0,0,0,0,0
000010560246,0.0,0,0,0,1,0,0,0,0,0,0,0
000003523446,0.0,0,0,0,0,0,0,0,0,0,0,1
000011092912,0.0,0,0,0,0,0,0,0,0,0,0,1
000012762695,0.0,0,0,0,0,0,0,0,0,0,0,1
000018472052,0.0,0,0,0,0,1,0,0,0,0,0,0
000016285247,0.0,0,0,0,1,0,0,0,0,0,0,0
000019477082,0.0,0,0,0,0,0,0,0,0,0,0,1
,0.0,0,0,0,0,0,0,0,0,0,0,1
000015807975,0.0,0,0,0,0,0,0,0,0,0,0,1
000014913232,0.0,0,0,0,1,0,0,0,0,0,0,0
000009185321,0.0,0,0,0,0,0,0,0,0,0,0,1
000003828573,0.0,0,0,0,0,0,0,0,0,0,0,1
000011433108,0.0,0,0,0,0,1,0,0,0,0,0,0
000018646301,0.0,0,0,0,0,0,0,0,0,0,1,0
000018012248,0.0,0,0,0,1,0,0,0,0,0,0,0
000017651018,0.0,0,0,0,1,0,0,0,0,0,0,0
000018339689,0.0,0,0,0,0,0,0,0,0,0,0,1
000018979297,0.0,0,0,0,0,0,0,0,0,0,0,1
000017812992,0.0,0,0,0,0,0,0,0,0,0,0,1
000018353533,0.0,0,0,0,1,0,0,0,0,0,0,0
000013948164,0.0,0,0,0,1,0,0,0,0,0,0,0
000002491664,0.0,0,0,0,0,0,0,0,0,0,0,1
000019277466,0.0,0,0,0,0,0,0,1,0,0,0,0
000020494688,0.0,0,0,0,1,0,0,0,0,0,0,0
000019847475,0.0,0,0,0,0,0,0,0,0,0,0,1
000015444759,0.0,0,0,0,0,0,0,0,0,0,0,1
000002485850,0.0,0,0,0,0,0,0,0,0,0,0,1
000010985956,0.0,0,0,0,0,0,0,0,0,0,0,1
000005230403,0.0,0,0,0,1,0,0,0,0,0,0,0
000001386492,0.0,0,0,0,0,0,0,0,0,0,0,1
000004265483,0.0,0,0,0,0,0,0,0,0,0,0,1
000019408110,0.0,0,0,0,0,1,0,0,0,0,0,0
000018131794,0.0,0,0,0,0,0,0,0,0,0,1,0
000017365155,0.0,0,0,0,0,0,0,0,0,0,0,1
000015892123,0.0,0,0,0,1,0,0,0,0,0,0,0
000017851017,0.0,0,0,0,0,0,0,0,0,0,1,0
000019639465,0.0,0,0,0,0,0,0,0,1,0,0,0
000018147860,0.0,0,0,0,1,0,0,0,0,0,0,0
000027192792,0.0,0,0,0,0,1,0,0,0,0,0,0
000027192806,0.0,0,0,0,0,1,0,0,0,0,0,0
000012955779,0.0,0,0,0,0,0,0,0,0,0,0,1
000016399048,0.0,0,0,0,1,0,0,0,0,0,0,0
000015186911,0.0,0,0,0,0,0,0,0,0,0,0,1
000018025153,0.0,0,0,0,1,0,0,0,0,0,0,0
000003348385,0.0,0,0,0,0,0,0,0,0,0,0,1
000020093039,0.0,0,0,0,0,0,0,1,0,0,0,0
000000174564,0.0,0,0,0,1,0,0,0,0,0,0,0
000001336894,0.0,0,0,0,0,1,0,0,0,0,0,0
000018691536,0.0,0,0,0,1,0,0,0,0,0,0,0
000016044584,0.0,0,0,0,1,0,0,0,0,0,0,0
000002498375,0.0,0,0,0,0,0,0,0,0,0,0,1
000018145736,0.0,0,0,0,1,0,0,0,0,0,0,0
000039149269,0.0,0,0,0,1,0,0,0,0,0,0,0
000009042970,0.0,0,0,0,1,0,0,0,0,0,0,0
000015890880,0.0,0,0,0,0,0,0,0,0,0,0,1
000018629792,0.0,0,0,0,1,0,0,0,0,0,0,0
000020466781,0.0,0,0,0,1,0,0,0,0,0,0,0
000010749101,0.0,0,0,0,1,0,0,0,0,0,0,0
000018053726,0.0,0,0,0,1,0,0,0,0,0,0,0
000011588209,0.0,0,0,0,0,0,0,0,0,0,0,1
000004327799,0.0,0,0,0,1,0,0,0,0,0,0,0
