huisnummer,postcode,nrAanduiding,vblObject,inOnderzoek
9,2984BG,0597200000261896,0597010000261897,False
1,8911AW,0080200000419089,0080010000419090,False
2,8448CN,0074200000373763,0074010000373764,False
3,8801JK,0070200000332718,0070010000332719,False
12,9061AE,0737200000037159,0737010000005537,False
14,9044NR,0083200000005879,0083010000005646,False
2,8754LD,0710200000165850,0710010000165851,False
1,8397LJ,0098200000014535,0098010000000698,False
26,8629PH,0683200000307899,0683010000307900,False
2,8855CZ,0070200000341222,0070010000341223,False
7,9206AK,0090200000647105,0090010000647106,False
6,9207HE,0086200000386091,0086010000386092,False
3,9001XW,0055200000283573,0055010000283574,False
5,9076PD,0063200000003348,0063010000003524,False
11,9288GJ,0059200000838931,0059010000838932,False
15,9205BD,0090200000620207,0090010000620208,False
13,8861NS,0072200000312259,0072010000312260,False
1,8517HA,0051200001256606,0051010001256607,False
19,8447EE,0074200000402393,0074010000402394,False
1,8501ZD,0051200001264324,0051010001264323,False
7,8861NX,0072200000311961,0072010000311962,False
25,1948ND,0375200000012227,0375010000012227,False
91,9291CE,0079200000371620,0079010000371621,False
121,8456GD,0074200000385561,0074010000385562,False
12,8746NH,0710200000162124,0710010000162125,False
7,2742RA,0627200000005841,0627010000005841,False
33,9024BD,0140200000173601,0140010000173602,False
30,9035ED,0083200000002114,0083010000001871,False
66,8621CP,0683200000300443,0683010000300444,False
6,8391AH,0098200000017313,0098010000012867,False
12,9723JE,0014200010886519,0014010011077981,False
4,7921XC,1690200000002128,1690010000002128,False
13,9936BP,0010200000114783,0010010000058144,False
19,9967RA,1663200000000671,1663010000000671,False
60,9611AM,0018200000150667,0018010000008388,False
168,1811CP,0361200000100407,0361010000104666,False
164,1811CP,0361200000202930,0361010000202875,False
16,8071TD,0302200000296810,0302010000052724,False
4,8521NH,0051200001253642,0051010001253643,False
3,9646EA,0047200000306649,0047010000306650,False
2,9735AD,0014200010888607,0014010011077536,False
2,9735AD,0014200010888607,0014010011077536,False
16,9351SG,0022200000005471,0022010000005471,False
101,9744TS,0014200022203968,0014010022203106,False
2,7958VA,1690200000007019,1690010000007019,False
39,9403VX,0106200000024142,0106010000024142,False
7,9731AK,0014200010873440,0014010011065568,False
87,9727AH,0014200022193039,0014010022192290,False
11,9744DS,0014200010886674,0014010011078121,False
39,6721JJ,0228200000001350,0228010000001350,False
18,9635AC,1987200000000138,1987010000000124,False
12,9288XJ,0059200000869624,0059010000869625,False
12,9001KE,0055200000287005,0055010000287006,False
90,9672BH,1895200000002686,1895010000009132,False
26,9728VP,0014200010821815,0014010011017491,False
32,8501SC,0051200001263240,0051010001263241,False
13,9671CA,1895200000004362,1895010000009422,False
16,9363BJ,0025200000009060,0025010000001994,False
15,8822WV,0710200000166050,0710010000166051,False
6,3208LJ,0612200000004062,0612010000003881,False
42,2909LE,0502200000024194,0502010000023805,False
7,7843RM,0109200000013896,0109010000003354,False
99,9727AJ,0014200010798089,0014010010995070,False
71,3311JG,0505200000094626,0505010000094608,False
1,9979XX,1651200000032735,1651010000022712,False
7,9724AD,0014200010841089,0014010011035221,False
14,9974SL,1663200000005535,1663010000005535,False
10,9934CK,0010200000115685,0010010000065238,False
3,9601KL,0018200000398308,0018010000052422,False
