huisnummer,postcode,nrAanduiding,vblObject,inOnderzoek,gebruiksdoel,oppervlakte,vbloStatus
9,2984BG,597200000261896,597010000261897,False,kantoorfunctie,214,in gebruik
1,8911AW,80200000419089,80010000419090,False,kantoorfunctie,394,in gebruik
2,8448CN,74200000373763,74010000373764,False,industriefunctie,5154,in gebruik
3,8801JK,70200000332718,70010000332719,False,kantoorfunctie,278,in gebruik
12,9061AE,737200000037159,737010000005537,False,overige gebruiksfunctie,97,in gebruik
14,9044NR,83200000005879,83010000005646,False,woonfunctie,158,in gebruik
2,8754LD,710200000165850,710010000165851,False,woonfunctie,234,in gebruik
1,8397LJ,98200000014535,98010000000698,False,industriefunctie,166,in gebruik
26,8629PH,683200000307899,683010000307900,False,woonfunctie,118,in gebruik
2,8855CZ,70200000341222,70010000341223,False,kantoorfunctie,305,in gebruik
7,9206AK,90200000647105,90010000647106,False,industriefunctie,134,in gebruik
6,9207HE,86200000386091,86010000386092,False,industriefunctie,816,in gebruik
3,9001XW,55200000283573,55010000283574,False,industriefunctie,2599,in gebruik
5,9076PD,63200000003348,63010000003524,False,kantoorfunctie,401,in gebruik
11,9288GJ,59200000838931,59010000838932,False,woonfunctie,131,in gebruik
15,9205BD,90200000620207,90010000620208,False,woonfunctie,157,in gebruik
13,8861NS,72200000312259,72010000312260,False,kantoorfunctie,5568,in gebruik
1,8517HA,51200001256606,51010001256607,False,woonfunctie,118,in gebruik
19,8447EE,74200000402393,74010000402394,False,woonfunctie,108,in gebruik
1,8501ZD,51200001264324,51010001264323,False,kantoorfunctie,2600,in gebruik
7,8861NX,72200000311961,72010000311962,False,kantoorfunctie,1185,in gebruik
25,1948ND,375200000012227,375010000012227,False,industriefunctie,290,in gebruik
91,9291CE,79200000371620,79010000371621,False,woonfunctie,206,in gebruik
121,8456GD,74200000385561,74010000385562,False,woonfunctie,167,in gebruik
12,8746NH,710200000162124,710010000162125,False,woonfunctie,573,in gebruik
7,2742RA,627200000005841,627010000005841,False,industriefunctie,7254,in gebruik
33,9024BD,140200000173601,140010000173602,False,kantoorfunctie,2197,in gebruik
30,9035ED,83200000002114,83010000001871,False,overige gebruiksfunctie,425,in gebruik
66,8621CP,683200000300443,683010000300444,False,woonfunctie,114,in gebruik
