vblObject,gebruiksdoel,oppervlakte,vbloStatus
10010000050368,onderwijsfunctie,596,in gebruik
10010000050368,onderwijsfunctie,1466,in gebruik
10010000050368,onderwijsfunctie,1424,in gebruik
10010000050368,onderwijsfunctie,1424,in gebruik (niet ingemeten)
10010000052674,industriefunctie,6478,in gebruik
10010000052674,industriefunctie,6681,in gebruik
10010000052674,industriefunctie,6411,in gebruik
10010000058144,industriefunctie,7905,in gebruik
10010000058144,industriefunctie,11626,in gebruik
10010000058144,industriefunctie,11600,in gebruik
10010000058904,woonfunctie,98,in gebruik
10010000059340,winkelfunctie,580,in gebruik
10010000059610,industriefunctie,3561,in gebruik
10010000059610,industriefunctie,3620,in gebruik
10010000059610,industriefunctie,3651,in gebruik
10010000061993,industriefunctie,2242,in gebruik
10010000061993,industriefunctie,2378,in gebruik
10010000061993,industriefunctie,2212,in gebruik
10010000062017,woonfunctie,1275,in gebruik
10010000062017,industriefunctie,1275,in gebruik
10010000062017,industriefunctie,1275,in gebruik
10010000062017,industriefunctie,1275,in gebruik
10010000062026,woonfunctie,972,in gebruik
10010000062026,kantoorfunctie,972,in gebruik
10010000062026,kantoorfunctie,972,in gebruik
10010000062026,kantoorfunctie,972,in gebruik
10010000063739,woonfunctie,196,in gebruik
10010000064724,industriefunctie,1000,gevormd
10010000064724,industriefunctie,1000,in gebruik (niet ingemeten)
10010000064724,industriefunctie,1000,in gebruik
10010000064828,woonfunctie,80,in gebruik
10010000064828,woonfunctie,80,in gebruik
10010000065238,woonfunctie,261,in gebruik
14010010989044,woonfunctie,52,in gebruik
14010010989044,woonfunctie,52,in gebruik
14010010990851,woonfunctie,133,in gebruik
14010010992474,woonfunctie,377,in gebruik
14010010995070,woonfunctie,194,in gebruik
14010010995070,woonfunctie,194,in gebruik
14010010999836,woonfunctie,81,in gebruik
14010010999836,woonfunctie,81,in gebruik
14010011003686,woonfunctie,54,in gebruik
14010011003686,woonfunctie,54,in gebruik
14010011017491,woonfunctie,103,in gebruik
14010011017491,woonfunctie,135,in gebruik (niet ingemeten)
14010011017491,woonfunctie,135,in gebruik
14010011035221,woonfunctie,381,in gebruik
14010011037969,woonfunctie,91,in gebruik
14010011037969,woonfunctie,91,in gebruik
14010011047008,woonfunctie,159,in gebruik
14010011047008,woonfunctie,80,in gebruik
14010011050706,woonfunctie,89,in gebruik
14010011050706,woonfunctie,89,in gebruik
14010011065568,industriefunctie,1980,in gebruik
14010011065750,winkelfunctie,17162,in gebruik
14010011065750,winkelfunctie,17162,in gebruik
14010011065750,winkelfunctie,20352,in gebruik
14010011073552,bijeenkomstfunctie,60,in gebruik
14010011073552,bijeenkomstfunctie,60,in gebruik
14010011073552,bijeenkomstfunctie,97,in gebruik
14010011073552,woonfunctie,79,in gebruik (niet ingemeten)
14010011073552,woonfunctie,81,in gebruik
14010011073599,woonfunctie,133,in gebruik
14010011073599,woonfunctie,133,in gebruik
14010011077536,kantoorfunctie,1156,in gebruik
14010011077561,kantoorfunctie,385,in gebruik
14010011077561,kantoorfunctie,385,in gebruik
14010011077561,kantoorfunctie,3606,in gebruik
14010011077561,kantoorfunctie,3338,in gebruik
14010011077981,industriefunctie,5904,in gebruik
14010011078121,woonfunctie,153,in gebruik
14010011078267,kantoorfunctie,3474,in gebruik
14010011078267,kantoorfunctie,3410,in gebruik
14010011080816,kantoorfunctie,520,in gebruik
14010011080816,kantoorfunctie,4199,in gebruik
14010011080840,industriefunctie,148,in gebruik
14010011081251,industriefunctie,196,in gebruik
14010011081251,industriefunctie,196,in gebruik
14010011083240,industriefunctie,201,in gebruik
14010022192290,kantoorfunctie,157,in gebruik
14010022192290,kantoorfunctie,173,in gebruik
14010022203079,woonfunctie,147,gevormd
14010022203079,woonfunctie,147,in gebruik (niet ingemeten)
14010022203079,woonfunctie,147,in gebruik
14010022203106,industriefunctie,3027,gevormd
14010022203106,industriefunctie,3027,in gebruik (niet ingemeten)
14010022203106,industriefunctie,3027,in gebruik
15010001001303,woonfunctie,187,in gebruik
17010000005429,winkelfunctie,708,in gebruik
17010000005429,winkelfunctie,642,in gebruik
18010000008388,woonfunctie,212,in gebruik
18010000008837,kantoorfunctie,725,in gebruik
18010000008837,kantoorfunctie,725,in gebruik
18010000008837,kantoorfunctie,771,in gebruik
18010000012297,kantoorfunctie,178,in gebruik
18010000012297,industriefunctie,178,in gebruik
18010000012297,industriefunctie,883,in gebruik
18010000045418,woonfunctie,89,in gebruik
18010000045418,logiesfunctie,89,in gebruik
18010000045418,logiesfunctie,89,in gebruik
18010000050606,industriefunctie,999999,in gebruik
18010000050606,industriefunctie,14134,in gebruik
18010000050606,industriefunctie,14134,in gebruik
18010000050606,industriefunctie,16070,in gebruik
18010000052422,kantoorfunctie,100,in gebruik
18010000052422,industriefunctie,100,in gebruik
18010000052422,industriefunctie,5147,in gebruik
22010000004319,winkelfunctie,1506,in gebruik
22010000005471,woonfunctie,154,in gebruik
22010000009926,woonfunctie,134,gevormd
22010000009926,woonfunctie,134,in gebruik (niet ingemeten)
22010000009926,woonfunctie,134,in gebruik
25010000001994,woonfunctie,109,in gebruik
25010000024605,onderwijsfunctie,412,in gebruik
25010000024605,onderwijsfunctie,350,in gebruik
25010000024605,woonfunctie,350,in gebruik (niet ingemeten)
25010000024605,woonfunctie,350,in gebruik
25010000024605,woonfunctie,436,in gebruik
34010000001792,woonfunctie,99,in gebruik
34010000001792,woonfunctie,118,in gebruik
34010000005297,woonfunctie,164,in gebruik
34010000005297,woonfunctie,162,in gebruik
34010000008948,industriefunctie,80,in gebruik
34010000009030,industriefunctie,166,gevormd
34010000009030,industriefunctie,166,in gebruik (niet ingemeten)
34010000009030,industriefunctie,166,in gebruik
34010000009030,industriefunctie,178,in gebruik
34010000013158,kantoorfunctie,1953,in gebruik
34010000013158,kantoorfunctie,1953,in gebruik (niet ingemeten)
34010000013158,kantoorfunctie,1953,in gebruik
34010000013158,kantoorfunctie,1243,in gebruik
34010000013158,kantoorfunctie,709,in gebruik
34010000013565,woonfunctie,155,in gebruik
34010000013565,woonfunctie,170,in gebruik
34010000013565,woonfunctie,172,in gebruik
34010000019166,industriefunctie,228,in gebruik
34010000019166,industriefunctie,225,in gebruik
