vblObject,gebruiksdoel,oppervlakte,vbloStatus
10010000050368,onderwijsfunctie,1424,in gebruik (niet ingemeten)
10010000052674,industriefunctie,6411,in gebruik
10010000058144,industriefunctie,11600,in gebruik
10010000058904,woonfunctie,98,in gebruik
10010000059340,winkelfunctie,580,in gebruik
10010000059610,industriefunctie,3651,in gebruik
10010000061993,industriefunctie,2212,in gebruik
10010000062017,industriefunctie,1275,in gebruik
10010000062026,kantoorfunctie,972,in gebruik
10010000063739,woonfunctie,196,in gebruik
10010000064724,industriefunctie,1000,in gebruik
10010000064828,woonfunctie,80,in gebruik
10010000065238,woonfunctie,261,in gebruik
14010010989044,woonfunctie,52,in gebruik
14010010990851,woonfunctie,133,in gebruik
14010010992474,woonfunctie,377,in gebruik
14010010995070,woonfunctie,194,in gebruik
14010010999836,woonfunctie,81,in gebruik
14010011003686,woonfunctie,54,in gebruik
14010011017491,woonfunctie,135,in gebruik
14010011035221,woonfunctie,381,in gebruik
14010011037969,woonfunctie,91,in gebruik
14010011047008,woonfunctie,80,in gebruik
14010011050706,woonfunctie,89,in gebruik
14010011065568,industriefunctie,1980,in gebruik
14010011065750,winkelfunctie,20352,in gebruik
14010011073552,woonfunctie,81,in gebruik
14010011073599,woonfunctie,133,in gebruik
14010011077536,kantoorfunctie,1156,in gebruik
14010011077561,kantoorfunctie,3338,in gebruik
14010011077981,industriefunctie,5904,in gebruik
14010011078121,woonfunctie,153,in gebruik
14010011078267,kantoorfunctie,3410,in gebruik
14010011080816,kantoorfunctie,4199,in gebruik
14010011080840,industriefunctie,148,in gebruik
14010011081251,industriefunctie,196,in gebruik
14010011083240,industriefunctie,201,in gebruik
14010022192290,kantoorfunctie,173,in gebruik
14010022203079,woonfunctie,147,in gebruik
14010022203106,industriefunctie,3027,in gebruik
15010001001303,woonfunctie,187,in gebruik
17010000005429,winkelfunctie,642,in gebruik
18010000008388,woonfunctie,212,in gebruik
18010000008837,kantoorfunctie,771,in gebruik
18010000012297,industriefunctie,883,in gebruik
18010000045418,logiesfunctie,89,in gebruik
18010000050606,industriefunctie,16070,in gebruik
18010000052422,industriefunctie,5147,in gebruik
22010000004319,winkelfunctie,1506,in gebruik
22010000005471,woonfunctie,154,in gebruik
22010000009926,woonfunctie,134,in gebruik
25010000001994,woonfunctie,109,in gebruik
25010000024605,woonfunctie,436,in gebruik
34010000001792,woonfunctie,118,in gebruik
34010000005297,woonfunctie,162,in gebruik
34010000008948,industriefunctie,80,in gebruik
34010000009030,industriefunctie,178,in gebruik
34010000013158,kantoorfunctie,709,in gebruik
34010000013565,woonfunctie,172,in gebruik
34010000019166,industriefunctie,225,in gebruik
34010000024569,woonfunctie,125,in gebruik
34010000026499,industriefunctie,12273,in gebruik
34010000028462,woonfunctie,78,in gebruik
34010000030048,woonfunctie,141,in gebruik
34010000035614,woonfunctie,145,in gebruik
34010000047434,woonfunctie,128,in gebruik
34010000048482,woonfunctie,127,in gebruik
34010000051312,woonfunctie,135,in gebruik
34010000056678,industriefunctie,7087,in gebruik
34010000057423,woonfunctie,79,in gebruik
34010000058493,industriefunctie,217,in gebruik
34010000058758,woonfunctie,116,in gebruik
34010000060952,industriefunctie,1885,in gebruik
34010000061437,woonfunctie,100,in gebruik
34010000061747,overige gebruiksfunctie,270,in gebruik
34010000066308,woonfunctie,109,in gebruik
34010000066487,woonfunctie,42,in gebruik
34010000067773,winkelfunctie,78,in gebruik
34010000071036,woonfunctie,120,in gebruik
34010000074346,industriefunctie,314,in gebruik
34010000074363,industriefunctie,642,in gebruik
34010000075629,woonfunctie,144,in gebruik
34010000076790,woonfunctie,101,in gebruik
34010000080921,woonfunctie,226,in gebruik
34010000080993,woonfunctie,95,in gebruik
34010000082508,kantoorfunctie,18909,in gebruik
34010000087285,winkelfunctie,863,in gebruik
34010000089848,woonfunctie,65,in gebruik
37010000360326,industriefunctie,358,in gebruik
37010000364131,woonfunctie,115,in gebruik
40010000001972,winkelfunctie,372,in gebruik
40010000002367,industriefunctie,638,in gebruik
40010000005978,winkelfunctie,276,in gebruik
40010000020615,industriefunctie,4963,in gebruik
40010000026820,overige gebruiksfunctie,5,in gebruik
47010000280702,industriefunctie,893,in gebruik
47010000291610,industriefunctie,240,in gebruik
47010000301514,woonfunctie,430,in gebruik
47010000306650,woonfunctie,163,in gebruik
47010000306836,industriefunctie,289,in gebruik
47010000307810,winkelfunctie,1470,in gebruik
47010000308671,kantoorfunctie,1127,in gebruik
47010000309169,woonfunctie,126,in gebruik
48010000000055,kantoorfunctie,640,in gebruik
48010000000156,woonfunctie,983,in gebruik
48010000001118,woonfunctie,52,in gebruik
48010000001442,logiesfunctie,52,in gebruik
48010000002226,woonfunctie,225,in gebruik
50010000357406,industriefunctie,1187,in gebruik
50010000359880,woonfunctie,133,in gebruik
50010000363250,kantoorfunctie,3574,in gebruik
50010000364846,woonfunctie,167,in gebruik
50010000366368,industriefunctie,243,in gebruik
50010000367942,industriefunctie,430,in gebruik
50010000377082,woonfunctie,97,in gebruik
50010000381774,logiesfunctie,2572,in gebruik
50010000386946,winkelfunctie,781,in gebruik
51010001240769,kantoorfunctie,2298,in gebruik
51010001248811,kantoorfunctie,754,in gebruik
51010001249031,woonfunctie,182,in gebruik
51010001253643,woonfunctie,250,in gebruik
51010001255691,overige gebruiksfunctie,881,in gebruik
51010001256607,woonfunctie,118,in gebruik
51010001262455,kantoorfunctie,124,in gebruik
51010001263241,woonfunctie,123,in gebruik
51010001264323,kantoorfunctie,2600,in gebruik
51010001266085,overige gebruiksfunctie,1606,in gebruik
53010020006474,industriefunctie,1244,in gebruik
55010000268228,kantoorfunctie,317,in gebruik
55010000276026,woonfunctie,100,in gebruik
55010000283574,industriefunctie,2599,in gebruik
55010000287006,woonfunctie,115,in gebruik
56010000031403,woonfunctie,129,in gebruik
58010000235372,woonfunctie,108,in gebruik
59010000838932,woonfunctie,131,in gebruik
59010000857222,industriefunctie,7312,in gebruik
59010000869625,industriefunctie,27,in gebruik
59010000870524,woonfunctie,40,ingetrokken
63010000003524,kantoorfunctie,401,in gebruik
64010000134436,kantoorfunctie,813,in gebruik (niet ingemeten)
64010000139478,woonfunctie,185,in gebruik
70010000332719,kantoorfunctie,278,in gebruik
70010000341223,kantoorfunctie,305,in gebruik
70010000349477,woonfunctie,170,in gebruik
72010000308256,kantoorfunctie,15591,in gebruik
72010000311962,kantoorfunctie,1185,in gebruik
72010000312260,kantoorfunctie,5568,in gebruik
74010000357758,industriefunctie,314,in gebruik
74010000373764,industriefunctie,5154,in gebruik
74010000381124,woonfunctie,139,in gebruik
74010000385562,woonfunctie,167,in gebruik
74010000398548,industriefunctie,495,in gebruik
74010000398550,industriefunctie,8223,in gebruik (niet ingemeten)
74010000399744,industriefunctie,345,in gebruik
74010000402394,woonfunctie,108,in gebruik
74010000407913,industriefunctie,215,in gebruik
79010000371621,woonfunctie,206,in gebruik
79010000373219,woonfunctie,113,in gebruik
80010000411980,kantoorfunctie,10071,in gebruik
80010000419090,kantoorfunctie,394,in gebruik
80010000441356,woonfunctie,236,in gebruik
80010000456710,woonfunctie,363,in gebruik
80010000473462,woonfunctie,52,in gebruik
80010000477462,woonfunctie,81,in gebruik
80010000478882,industriefunctie,3217,in gebruik
80010000489901,industriefunctie,291,in gebruik
83010000001871,overige gebruiksfunctie,425,in gebruik
83010000004377,woonfunctie,77,in gebruik
83010000005646,woonfunctie,158,in gebruik
85010000007704,woonfunctie,105,in gebruik
85010000051134,industriefunctie,1801,in gebruik (niet ingemeten)
86010000386092,industriefunctie,816,in gebruik
90010000618628,industriefunctie,771,in gebruik
90010000620208,woonfunctie,157,in gebruik
90010000624690,industriefunctie,238,in gebruik
90010000625264,woonfunctie,144,in gebruik
90010000647106,industriefunctie,134,in gebruik
90010000647600,industriefunctie,299,in gebruik
90010000647900,industriefunctie,392,in gebruik
90010000656860,industriefunctie,200,in gebruik
90010000685932,woonfunctie,136,in gebruik
91010000032436,winkelfunctie,550,in gebruik
93010000218689,woonfunctie,135,in gebruik
98010000000698,industriefunctie,166,in gebruik
98010000001284,industriefunctie,3414,in gebruik
98010000012867,woonfunctie,230,in gebruik
106010000007888,industriefunctie,3074,in gebruik
106010000024142,industriefunctie,300,in gebruik
106010000025913,kantoorfunctie,179,ingetrokken
109010000002678,industriefunctie,2788,in gebruik
109010000003354,logiesfunctie,56,in gebruik
109010000012038,woonfunctie,68,in gebruik
109010000012912,kantoorfunctie,260,in gebruik
109010000021261,winkelfunctie,708,in gebruik (niet ingemeten)
114010000279831,winkelfunctie,163,in gebruik
114010000283905,woonfunctie,314,in gebruik
114010000299286,woonfunctie,429,in gebruik
114010000312962,industriefunctie,150,in gebruik
114010000314504,industriefunctie,343,in gebruik
114010000315510,overige gebruiksfunctie,12,ingetrokken
114010000325428,industriefunctie,500,in gebruik
114010000326070,industriefunctie,120,in gebruik
114010000326944,industriefunctie,63,in gebruik
114010000355966,industriefunctie,239,in gebruik
114010000368461,industriefunctie,114,in gebruik
114010000372451,winkelfunctie,108,ingetrokken
114010000379809,industriefunctie,400,in gebruik
114010000381883,industriefunctie,363,in gebruik
114010000402581,industriefunctie,600,in gebruik
118010000017458,industriefunctie,2512,in gebruik
118010000017816,woonfunctie,210,in gebruik
118010000020161,woonfunctie,214,in gebruik
118010000057798,woonfunctie,238,in gebruik
118010000077864,industriefunctie,928,in gebruik
118010000078061,industriefunctie,5478,in gebruik
118010000081769,woonfunctie,84,in gebruik
118010090000732,industriefunctie,1140,in gebruik
119010000002323,industriefunctie,1536,in gebruik
119010000002881,woonfunctie,124,in gebruik
119010000002972,kantoorfunctie,348,in gebruik
119010000004854,kantoorfunctie,1038,in gebruik
119010000009066,woonfunctie,105,in gebruik
119010000014150,industriefunctie,2280,ingetrokken
119010000018123,kantoorfunctie,1143,in gebruik
119010000020254,industriefunctie,3145,in gebruik
140010000173602,kantoorfunctie,2197,in gebruik
141010000005680,woonfunctie,113,in gebruik
141010000008460,woonfunctie,143,in gebruik
141010000012432,woonfunctie,205,in gebruik
141010000016334,woonfunctie,71,in gebruik
141010000025876,industriefunctie,125,in gebruik
141010000026277,industriefunctie,8190,in gebruik
141010000026280,industriefunctie,990,in gebruik
141010000026304,industriefunctie,998,in gebruik
141010000029535,woonfunctie,180,in gebruik
141010000078260,industriefunctie,5220,in gebruik
141010000080774,woonfunctie,181,in gebruik
141010000084828,industriefunctie,2213,in gebruik
141010000196164,woonfunctie,134,in gebruik
141010000196227,industriefunctie,2799,in gebruik
141010000196642,woonfunctie,212,in gebruik
141010000198165,industriefunctie,2701,in gebruik
141010000198201,industriefunctie,302,in gebruik
141010000205871,kantoorfunctie,4980,in gebruik
141010000211047,woonfunctie,169,gevormd
147010000000084,woonfunctie,115,in gebruik
147010000005561,woonfunctie,114,in gebruik
147010000006665,woonfunctie,53,in gebruik
147010000112147,winkelfunctie,1444,in gebruik
147010000112210,kantoorfunctie,502,ingetrokken
148010000002025,woonfunctie,257,in gebruik
148010000007553,kantoorfunctie,11304,in gebruik
148010000009097,woonfunctie,101,in gebruik
148010000009111,winkelfunctie,1018,in gebruik
148010000011298,industriefunctie,10935,in gebruik
148010000091868,woonfunctie,104,in gebruik
150010000018187,woonfunctie,95,in gebruik
150010000030748,industriefunctie,9869,in gebruik
150010000036675,woonfunctie,141,in gebruik
150010000037480,industriefunctie,1074,in gebruik
150010000040750,industriefunctie,321,in gebruik
150010000046933,industriefunctie,187,in gebruik
150010000047188,woonfunctie,204,in gebruik
150010000049005,woonfunctie,10,in gebruik
150010000049022,woonfunctie,84,in gebruik
150010000049635,kantoorfunctie,3363,in gebruik
153010000304827,woonfunctie,170,in gebruik
153010000305995,woonfunctie,108,in gebruik
153010000318381,woonfunctie,122,in gebruik
153010000320379,woonfunctie,90,in gebruik
153010000335477,industriefunctie,2179,in gebruik
153010000346051,industriefunctie,4930,in gebruik
153010000350565,woonfunctie,109,in gebruik
153010000352121,woonfunctie,88,in gebruik
153010000355699,industriefunctie,5663,in gebruik
153010000366073,industriefunctie,245,in gebruik
153010000370035,overige gebruiksfunctie,999999,ingetrokken
153010000385687,woonfunctie,79,in gebruik
153010000387757,industriefunctie,1600,in gebruik
153010000394409,industriefunctie,300,in gebruik
153010000398167,industriefunctie,2650,in gebruik
153010000408909,industriefunctie,113,in gebruik
153010000420337,industriefunctie,221,in gebruik
153010000423907,industriefunctie,554,in gebruik
153010000426479,industriefunctie,679,in gebruik
153010000426995,woonfunctie,125,in gebruik
153010000428469,industriefunctie,5600,in gebruik
153010000442325,woonfunctie,122,in gebruik
153010000449819,industriefunctie,7844,in gebruik
153010000464241,woonfunctie,107,in gebruik
153010000466392,woonfunctie,203,in gebruik
153010000474479,woonfunctie,19,in gebruik
153010000487293,woonfunctie,165,in gebruik
153010000488007,industriefunctie,7866,in gebruik
158010000000205,woonfunctie,160,in gebruik
158010000002166,industriefunctie,196,in gebruik
158010000003454,industriefunctie,16732,in gebruik
158010000004593,woonfunctie,119,in gebruik
160010000028237,woonfunctie,187,in gebruik
160010000029518,woonfunctie,137,in gebruik
160010000029921,woonfunctie,115,in gebruik
160010000032247,kantoorfunctie,96,in gebruik
160010000033390,woonfunctie,94,in gebruik
160010000040235,woonfunctie,386,in gebruik
160010000044565,industriefunctie,5599,in gebruik
160010000044599,winkelfunctie,645,in gebruik
160010000044704,industriefunctie,10177,in gebruik
160010000048910,industriefunctie,525,in gebruik
160010000049313,kantoorfunctie,109,in gebruik
163010000578865,kantoorfunctie,120,in gebruik
163010000579967,industriefunctie,230,in gebruik
164010000015880,industriefunctie,11341,in gebruik
164010000016328,winkelfunctie,465,in gebruik
164010000016535,winkelfunctie,232,in gebruik
164010000016584,winkelfunctie,1179,in gebruik
164010000016660,industriefunctie,14246,in gebruik
164010000016730,industriefunctie,399,in gebruik
164010000017105,woonfunctie,199,in gebruik
164010000018753,woonfunctie,100,in gebruik
164010000022594,kantoorfunctie,8184,in gebruik
164010000026064,woonfunctie,251,in gebruik
164010000026076,woonfunctie,127,in gebruik
164010000026192,woonfunctie,105,in gebruik
164010000029105,woonfunctie,153,in gebruik
164010000047021,winkelfunctie,48,in gebruik
164010000047234,kantoorfunctie,25472,in gebruik (niet ingemeten)
166010000004703,industriefunctie,417,in gebruik
166010000005908,woonfunctie,610,in gebruik
166010000011455,woonfunctie,108,in gebruik
166010000022557,overige gebruiksfunctie,17,in gebruik
166010000023737,industriefunctie,73,in gebruik
166010000024644,industriefunctie,37341,in gebruik
168010000217173,woonfunctie,168,in gebruik
168010000229143,kantoorfunctie,32,in gebruik
168010000229153,kantoorfunctie,32,in gebruik
168010000229161,kantoorfunctie,32,in gebruik
168010000229189,kantoorfunctie,32,in gebruik
168010000232454,kantoorfunctie,421,in gebruik
168010000234234,woonfunctie,93,in gebruik
168010000236665,woonfunctie,188,in gebruik
171010000020294,industriefunctie,395,in gebruik
171010000023480,woonfunctie,36,in gebruik
171010000025234,woonfunctie,112,in gebruik
171010000032839,overige gebruiksfunctie,4,in gebruik
171010000033436,industriefunctie,168,in gebruik
173010000146547,woonfunctie,137,in gebruik
173010000147039,industriefunctie,2348,in gebruik
173010000147593,industriefunctie,11100,in gebruik
173010000154595,woonfunctie,292,in gebruik
173010000157913,kantoorfunctie,475,in gebruik
173010000160275,woonfunctie,165,in gebruik
173010000161397,industriefunctie,1056,in gebruik
173010000172495,woonfunctie,221,in gebruik
