HUISNR,PC
9,2984BG
2739,8901AE
629,8440AP
124,8800AC
12,9061AE
14,9044NR
2,8754LD
1,8397LJ
26,8629PH
2,8855CZ
7,9206AK
6,9207HE
107,9000AC
84,9076ZP
11,9288GJ
15,9205BD
60,8860AB
1,8517HA
19,8447EE
149,8500AC
9,8860AA
25,1948ND
91,9291CE
121,8456GD
12,8746NH
7,2742RA
2,9025BR
30,9035ED
66,8621CP
6,8391AH
12,9723JE
4,7921XC
13,9936BP
19,9967RA
60,9611AM
168,1811CP
164,1811CP
16,8071TD
4,8521NH
3,9646EA
107,9700AC
107,9700AC
16,9351SG
101,9744TS
2,7958VA
23,9400AA
7,9731AK
8216,9702KE
11,9744DS
39,6721JJ
18,9635AC
37,9363ZG
12,9001KE
110,9670AC
26,9728VP
32,8501SC
13,9671CA
71,9363ZH
15,8822WV
6,3208LJ
8725,3009AS
8,7833ZG
442,9700AK
71,3311JG
1,9979XX
7,9724AD
96,9700AB
10,9934CK
85,9600AB
3119,3301DC
6,3208LJ
46,9934RS
664,9700AR
5,9753TA
466,9600AL
99,9727AJ
144,9727AP
40001,6504AA
20,9936TG
18,9902SR
44,9628CP
22,9636HW
22,9636HW
14,9930AA
13,9671CA
125,9728CG
39,9700AA
52,9649HW
24,9950AA
96,9943PC
148,3881SL
28,9672AD
75,9281LC
11,1705JC
28,9982AX
246,9670AE
23,9723JC
32,9321HB
5,9742LA
22,2585GJ
4,9672BA
49,2533SG
58,9665MR
20,9672BN
109,9628CD
22,9636HW
123,9930AC
14,9930AA
14,9930AA
10,9934CK
5,9934AR
11,9670AA
37,9930AA
250,9930AG
123,9930AC
15,9561ZA
105,9648KK
423,9640AK
36,9712LG
123,9930AC
22,9649AJ
84,9636BT
9,9979XK
21,6827BJ
12,2952EH
63,7903AS
1116,7801BC
1298,1430BG
2,7825GS
121,1119RB
65,2991LJ
8,7908MZ
15,9411SB
9,9418TN
7,9206AK
501,5464PA
7,5993SL
5,4751XK
50,9765ZH
86,9230AB
5,7901TG
52,7963BZ
1019,7905SB
2,7761RA
20,7814XL
25,7958RS
12,7812HZ
9,7761RB
80,9403AD
10,9301ZJ
4,7833JA
16,7825AN
440,7770AK
10,9403DT
9634,3007AP
5,7924PG
4175,2980GD
252,8000AG
574,8000AN
27,3165AA
30,8064AK
3,8150AA
3,8150AA
23,8356EN
50,7710AB
131,3734EE
3,8150AA
5,8271RG
26,8131DP
36,8181JJ
26,8271RH
13,8050AA
252,8000AG
8,7739PL
8,7739PL
32,7701SE
2,7696BG
7,8013RK
14,7711GW
3,7955AA
66,7772KB
15,7921RV
1,8131WV
3,8102HX
15,8013RL
132,7324BD
111,7772NB
3,8150AA
30047,8003CA
4,7448RR
292,7600AG
21,7575ER
1,7460AA
202,7500AE
105,7587NG
202,7500AE
29,7602PD
18,7575ED
385,7600AJ
23,7575DB
29,7461TP
10,7543GT
8,7602PW
8,7532ST
219,1118BH
1333,7500BH
1333,7500BH
415,7570AK
215,7570AE
374,7570AJ
69497,1060CM
2,7575BP
30,7575DA
16,7547TB
13,7608RH
23,7575DB
332,7532SN
78,7590AB
1,7472DD
41,7511ZA
215,7570AE
22,7665ST
15,3851SL
6,1521RC
209,8096BJ
629,8440AP
629,8440AP
81,5342LW
339,5140AH
339,5140AH
339,5140AH
1,3849BM
16,7141ZT
6,7332BB
1050,3900BB
45,7130AA
24,6971BA
6,3016BD
18,7261AD
30,7122PW
2,7202CT
394,8901BD
70,7255ZH
1015,3840BA
100,5804AM
70,3860AB
8,7383CB
37,6981AD
7,6961DP
98,7241VM
14,7151HD
29,7325WZ
29,7325WZ
33,2161LE
54,7201EE
2120,7420AC
2,7231CP
8,3771MK
10,7572ZH
118,7630AC
20,3991VB
60,3882NJ
7,7604ER
1359,7500BJ
11,2391PZ
106,7547AL
23,7382AK
6,7091CS
81,7475ZH
41,5571KB
202,7500AE
202,7500AE
202,7500AE
12,7384SN
266,3845LD
82,8256ES
454,7602KM
