HUISNR,PC
9,2984BG
1,8911AW
2,8448CN
3,8801JK
12,9061AE
14,9044NR
2,8754LD
1,8397LJ
26,8629PH
2,8855CZ
7,9206AK
6,9207HE
3,9001XW
5,9076PD
11,9288GJ
15,9205BD
13,8861NS
1,8517HA
19,8447EE
1,8501ZD
7,8861NX
25,1948ND
91,9291CE
121,8456GD
12,8746NH
7,2742RA
33,9024BD
30,9035ED
66,8621CP
6,8391AH
12,9723JE
4,7921XC
13,9936BP
19,9967RA
60,9611AM
168,1811CP
164,1811CP
16,8071TD
4,8521NH
3,9646EA
2,9735AD
2,9735AD
16,9351SG
101,9744TS
2,7958VA
39,9403VX
7,9731AK
87,9727AH
11,9744DS
39,6721JJ
18,9635AC
12,9288XJ
12,9001KE
90,9672BH
26,9728VP
32,8501SC
13,9671CA
16,9363BJ
15,8822WV
6,3208LJ
42,2909LE
7,7843RM
99,9727AJ
71,3311JG
1,9979XX
7,9724AD
14,9974SL
10,9934CK
3,9601KL
7,3316EE
6,3208LJ
46,9934RS
74,9727AK
5,9753TA
6,9615TH
99,9727AJ
144,9727AP
8,6541DC
20,9936TG
10,9936HD
44,9628CP
22,9636HW
22,9636HW
10,9934CK
13,9671CA
125,9728CG
52,9649HW
52,9649HW
21,9951SJ
96,9943PC
148,3881SL
28,9672AD
75,9281LC
11,1705JC
28,9982AX
29,9672BN
23,9723JC
32,9321HB
5,9742LA
22,2585GJ
4,9672BA
49,2533SG
58,9665MR
20,9672BN
109,9628CD
22,9636HW
5,9934AR
10,9934CK
10,9934CK
10,9934CK
5,9934AR
18,9672AR
14,9936GZ
4,9934GD
5,9934AR
15,9561ZA
105,9648KK
96,9641JT
36,9712LG
5,9934AR
22,9649AJ
84,9636BT
9,9979XK
21,6827BJ
12,2952EH
63,7903AS
27,7825VL
313,1431GB
2,7825GS
121,1119RB
65,2991LJ
8,7908MZ
15,9411SB
9,9418TN
7,9206AK
501,5464PA
7,5993SL
5,4751XK
14,9761TK
6,9207HE
5,7901TG
52,7963BZ
1019,7905SB
2,7761RA
20,7814XL
25,7958RS
12,7812HZ
9,7761RB
80,9403AD
10,9301ZJ
4,7833JA
16,7825AN
6,7772TV
10,9403DT
6,2991XV
5,7924PG
70,2988DB
20,8028PK
4,8064PE
27,3165AA
30,8064AK
17,8152BN
10,8042PH
27,8325DB
5,7711EP
131,3734EE
17,8152BN
5,8271RG
26,8131DP
36,8181JJ
26,8271RH
9,8051HH
20,8028PK
8,7739PL
24,7739PH
32,7701SE
2,7696BG
7,8013RK
14,7711GW
3,7955AA
66,7772KB
15,7921RV
1,8131WV
3,8102HX
15,8013RL
132,7324BD
111,7772NB
17,8152BN
38,8013PD
13,7241DB
6,7602PE
21,7575ER
18,7461JC
2,7547RW
105,7587NG
2,7547RW
29,7602PD
18,7575ED
3,7602PD
23,7575DB
29,7461TP
10,7543GT
8,7602PW
8,7532ST
219,1118BH
19,7547RT
19,7547RT
18,7575ED
16,7587GA
21,7575BC
29,1062HJ
2,7575BP
30,7575DA
16,7547TB
13,7608RH
23,7575DB
332,7532SN
3,7591HH
1,7472DD
41,7511ZA
16,7587GA
22,7665ST
15,3851SL
6,1521RC
209,8096BJ
104,8448GW
2,8448CN
81,5342LW
23,5145RK
6,5047RK
81,5804AP
1,3849BM
16,7141ZT
6,7332BB
12,3903KG
45,7131PE
24,6971BA
6,3016BD
18,7261AD
30,7122PW
2,7202CT
15,8932PA
8,7255AE
13,3846BX
100,5804AM
17,3861NJ
8,7383CB
37,6981AD
7,6961DP
98,7241VM
14,7151HD
29,7325WZ
29,7325WZ
33,2161LE
18,7211AR
2,9723JE
2,7231CP
8,3771MK
10,7572ZH
73,7631AB
20,3991VB
60,3882NJ
7,7604ER
2,7547RW
11,2391PZ
106,7547AL
23,7382AK
6,7091CS
8,7475NH
41,5571KB
2,7547RW
21,7547RT
2,7547RW
12,7384SN
266,3845LD
82,8256ES
454,7602KM
128,8701MC
51,7325WC
2,7547RW
119,7631BB
6,3628AC
22,3771VT
28,7576EM
1,7556BP
33,8162XS
7,6921EW
17,7577JC
12,3881SH
34,8097SG
21,8242PE
156,7604BP
100,7554NB
101,3066GS
1,7491EZ
12,7312EH
40,7609SJ
22,3846BN
15,7621AX
4,7604BL
766,2132NM
53,7547TE
8,7391TW
3,7251LH
37,8081HB
14,7671NE
46,7671RE
11,7335JP
52,5222BP
6,4043JD
75,7397NE
16,7611AG
16,3888MV
12,8162ET
313,1431GB
123,7471KV
14,8051KW
150,7544VV
99,7241MB
20,3774RA
8,7418BG
16,7335AA
3,7463PB
6,2033DA
101,7202CA
18,7547TB
64,3853TK
3,3785KX
23,7575AR
1,7772BL
2,7623CS
133,3771MA
18,6961PJ
37,7481RS
6,7631JC
26,8271RH
25,7421ET
9,8011RT
10,7521BE
18,7461JC
22,7554TX
9,3881LW
9,7597MD
1,7738PS
13,1135GG
9,7041GX
89,6827AL
5,7041KJ
22,5521DZ
53,5521DZ
74,6831AJ
3,6984AA
11,6673DP
2,6988BM
1,7041GE
7,3771NS
15,8255RN
19,6921RE
4,3771LN
65,6922JA
5,6909DZ
508,2952DG
43,6921RE
11,3781EP
1,7031GG
78,6902PK
1,6931SG
109,3771MA
3,3959BE
135,2131AR
32,5651GG
7,5986PM
33,3771MA
1,6921RB
23,7122ME
41,6666WS
2,1118LK
77,3087BM
10,7041GD
5,6984AA
7,7833HW
109,6843PP
18,6598BL
22,7031BG
2,3165AL
21,6901JV
78,1412JL
2,7122NR
21,6691CT
6,7047CA
19,7031HH
4,7041BM
64,6641AG
28,6923PE
12,6915VJ
47,7256AA
14,6902PR
165,7102EN
5,6922AA
130,2678AG
194,6814GK
31,4879NE
2,2652XT
20,1047BM
2,7942KE
32,3905NR
44,7461AE
10,5684PK
2,9482WH
15,8501XJ
2,1943AG
1410,5688HA
4,9461GX
17,6996AA
89,6602DD
3,6581KX
16,7418AM
8,6121RE
12,7041GD
5,7047CC
2031,6536JK
1077,6546BB
69,6828CD
4,6644BT
9,6611KA
5,6984AA
5,6984AA
8,6921RE
8,6921RE
58,6902PK
8,3991CS
43,7075ED
55,6681CW
3,6744PK
1154,6546AS
1121,6546AS
63,6545AB
2162,6604LG
55,7131XL
2,6741HC
5,6716KC
117,6542JD
6,6544XK
2,6942SG
93,6733AD
