branch_code,branch_name
01,Agriculture and related service activities
01.1,Growing of non-perennial crops
01.11,"Growing of cereals, leguminous crops and oil seeds"
01.13,"Growing of vegetables, roots and tubers"
01.13.1,Growing of vegetables in open fields
01.13.2,Greenhouse growing of vegetables
01.13.3,Growing of mushrooms
01.13.4,Growing of potatoes and other roots and tubers
01.16,Growing of fibre crops
01.19,Growing of other non-perennial crops
01.19.1,Growing of cut flowers and ornamental shrubs in open fields
01.19.2,Greenhouse growing of cut flowers and ornamental shrubs
01.19.3,Growing of fodder plants
01.19.9,Growing of other non-perennial crops n.e.c.
01.2,Growing of perennial crops
01.21,Growing of grapes
01.24,Growing of pome and stone fruits
01.24.1,Growing of apples and pears
01.24.2,Growing of stone fruits
01.25,Growing of other tree and bush fruits and nuts
01.25.1,Growing of strawberries in open fields
01.25.2,Greenhouse growing of strawberries
01.25.3,Growing of bush fruits in open fields (including other tree fruits and nuts)
01.25.4,Greenhouse growing of bush fruits
01.27,Growing of beverage crops
01.28,"Growing of spices, aromatic, drug and pharmaceutical crops"
01.29,Growing of other perennial crops
01.3,Growing of plants for ornamental purposes
01.30,Growing of plants for ornamental purposes
01.30.1,Growing of flower bulbs
01.30.2,Growing of bedding plants in open fields
01.30.3,Greenhouse growing of bedding plants
01.30.4,Greenhouse growing of pot plants
01.30.5,Growing of arboricultural crops in open fields
01.30.9,Growing of other plants for ornamental purposes in open fields
01.4,Animal production
01.41,Raising of dairy cattle
01.41.1,Farming of dairy cattle
01.41.2,Rearing of young cattle for dairy farming
01.42,Raising of other cattle (no dairy cattle)
01.42.1,Farming of beef calves
01.42.2,Farming of other cattle for meat and of suckler cows
01.43,Farming of horses and donkeys
01.45,Raising of sheep and goats
01.45.1,Raising of sheep
01.45.2,Raising of goats
01.46,Raising of swine
01.46.1,Breeding pig farms and pig breeding establishments
01.46.2,Fattening pig farms
01.46.3,Closed and semi-closed pig farms
01.47,Rearing and/or keeping poultry
01.47.1,Rearing and/or keeping egg-laying hens
01.47.2,Rearing and/or keeping broiler chickens
01.47.3,Rearing and/or keeping breeders for egg-laying hens and broiler chickens
01.47.9,Rearing and/or keeping other poultry
01.49,Raising of other animals
01.49.1,Raising of fur animals
01.49.9,Raising of other animals n.e.c.
01.5,Mixed farming
01.50,Mixed farming
01.6,Support activities for agriculture and post-harvest crop activities
01.61,Support activities for crop production
01.62,Support activities for animal production
01.63,Post-harvest crop activities
01.64,Seed processing for propagation
01.7,Hunting
01.70,Hunting
02.1,Silviculture
02.10,Silviculture
02.2,Logging
02.20,Logging
02.4,Support activities to forestry
02.40,Support activities to forestry
03,Fishing and aquaculture
03.1,Fishing
03.11,Marine fishing
03.12,Freshwater fishing
03.2,Aquaculture
03.21,Marine aquaculture
03.22,Freshwater aquaculture
B,B Mining and quarrying
6,Extraction of crude petroleum and natural gas
06.1,Extraction of crude petroleum
06.10,Extraction of crude petroleum
06.2,Extraction of natural gas
06.20,Extraction of natural gas
8,Mining and quarrying (no oil and gas)
08.1,"Mining of stone, sand and clay"
