kvknr,reg_date,emp_class
01016460,21-05-2001,05
01036591,14-12-1972,01
01038431,14-12-1972,06
01049319,02-05-1983,04
01056343,23-03-1988,01
01057929,08-03-1989,01
01059705,22-03-1990,04
01059721,18-06-2007,01
01073381,14-12-1995,03
01074543,09-04-1996,06
01075732,04-09-1996,03
01076443,27-11-1996,04
01077124,06-02-1997,06
01080805,10-03-1998,03
01083826,09-02-1999,02
01086273,15-10-1999,03
01087782,24-02-2000,04
01088698,08-05-2000,01
01089415,20-07-2000,02
01100930,08-09-2003,05
01103873,17-05-2004,04
01107686,14-03-2005,02
01110543,13-10-2005,06
01110680,25-10-2005,02
01113464,17-05-2019,02
01114697,27-06-2006,03
01119560,26-04-2007,02
01119741,08-05-2007,02
01120522,15-06-2007,02
01124278,28-12-2007,01
01127043,12-02-2008,02
01128624,13-03-2008,04
01130950,28-04-2008,02
01131995,26-05-2008,02
01132984,09-03-2017,04
01133410,05-02-2019,02
01135167,04-08-2008,02
01136877,11-09-2008,02
01141336,24-12-2008,01
01141358,24-12-2008,01
01141992,31-12-2008,01
01142006,31-12-2008,06
01142192,02-01-2009,03
01143010,12-01-2009,02
01143448,16-01-2009,01
01146382,27-02-2009,05
01146594,03-03-2009,02
01148103,08-02-2019,02
01152587,12-05-2009,02
01156815,24-06-2009,03
01157577,01-07-2009,01
01160332,10-08-2009,01
01162647,16-09-2009,02
01163603,01-10-2009,02
01169265,17-11-2009,01
01174264,02-02-2010,02
01178826,12-03-2010,02
01180387,27-04-2010,04
01181508,22-06-2011,03
02013984,22-05-1945,06
02024262,04-03-2005,01
02034830,12-06-1978,04
02037216,12-04-1985,01
02042689,15-12-1986,05
02045732,29-12-1999,07
02046812,27-02-1990,03
02047399,28-08-1990,06
02050214,13-08-1992,02
02051700,28-05-1993,05
02052502,04-11-1993,05
02052628,02-12-1993,05
02053752,05-08-2005,01
02059923,27-03-1997,01
02060999,25-09-1997,01
02063823,04-08-1998,02
02063825,04-08-1998,05
02065462,08-02-1999,03
02067502,23-09-1999,03
02067673,11-10-1999,02
02069296,17-03-2000,02
02073410,10-04-2001,05
02074996,24-09-2001,03
02080006,10-03-2003,02
02080717,24-02-2015,05
02080749,13-06-2017,02
02088362,03-04-2006,02
02088527,06-05-2005,03
02088575,11-05-2005,02
02088906,02-06-2005,02
02089093,15-06-2005,01
02091099,"ull,""emplo",01
02093577,03-02-2017,01
02094756,17-08-2006,03
02096524,13-07-2017,02
02097570,23-02-2007,02
02099332,18-06-2007,04
02101437,22-11-2007,02
02101438,22-11-2007,01
02300483,17-05-1921,06
02304700,05-05-1934,01
02309256,"ull,""emplo",09
02315208,14-04-1960,01
01182326,,
02042467,,
02080962,,
02319190,,
02321894,20-04-1994,02
02322050,22-09-1978,04
02322999,03-12-1980,01
02327128,23-02-1989,01
02329565,08-07-1992,01
02330339,29-06-1993,02
02330341,30-06-1993,03
02331205,21-06-1994,02
02332381,29-06-1995,01
02333806,25-09-1996,02
02334173,23-01-1997,02
02334980,10-11-1997,04
04032209,09-02-2018,05
04037554,12-04-2001,03
04039241,30-08-1990,03
04039267,05-09-1990,05
04039468,07-11-2016,07
04040443,28-05-1991,05
04042745,28-09-1992,02
04043783,06-04-1993,03
04045835,28-03-1994,02
04048282,22-01-1998,01
04049201,11-06-2015,01
04049455,30-12-2010,01
04049592,02-11-2016,06
04049842,29-11-1995,07
04058758,21-08-2007,04
04060394,06-01-2000,01
04061358,19-04-2000,05
04061465,03-05-2000,03
04062924,16-02-2018,01
04063606,25-01-2001,04
04063697,02-02-2004,03
04063776,13-02-2001,01
04063834,20-02-2001,03
04064106,19-03-2001,08
04067490,04-06-2002,04
04067759,08-07-2002,03
04069651,24-02-2003,04
04072891,11-11-2015,01
04076855,18-03-2005,03
04076950,14-04-2005,04
04087728,27-08-2007,02
04088035,01-10-2007,04
05007038,07-02-1941,01
05010492,,
05014910,21-07-1972,06
05027022,07-04-1975,04
05031528,08-03-2000,01
05035472,21-10-1982,03
05044944,05-11-1987,07
05045722,24-10-2016,01
05055951,13-06-1995,08
05060178,18-09-1997,02
05060892,29-01-1998,03
05063266,11-03-1999,04
05064405,30-09-1999,01
05064526,10-07-2007,02
05066056,05-06-2000,07
05066944,08-11-2000,03
05066985,15-11-2000,01
05067003,29-11-2000,02
05069233,06-02-2006,03
05069593,14-12-2001,01
05070718,30-05-2002,05
05071902,03-01-2003,02
05074887,20-07-2005,02
05076302,,
05076553,27-06-2019,06
05079062,23-08-2005,01
05079162,07-09-2005,02
05083165,10-11-2006,02
05085679,11-06-2007,02
05086601,17-09-2007,04
06020450,21-05-1951,05
06038255,26-07-1973,04
06043124,12-07-1978,03
06044666,01-11-1979,01
06050576,17-02-1984,06
06051091,01-06-1984,05
06054595,21-05-1986,06
06057088,14-11-2006,01
06057287,11-11-1987,02
06061272,13-11-1989,06
06068035,28-09-1992,04
06068859,04-01-1993,02
06069192,04-02-1993,03
06070559,28-07-1993,02
