kvk_nummer,bedrijfsnaam
01089004,Visser Afvalverwerking Transport en Recycling B.V.
09040045,Transportbedrijf Van Leusden B.V.
13014631,Keulen's Transport- en Grondverzetbedrijf B.V.
30065246,Theo Pouw B.V.
08036664,Transportbedrijf Jan Zevenhuizen B.V.
09032523,Transportbedrijf H. Vink en Zonen B.V.
37068820,Transport- en Aannemingsbedrijf H.M.S. Den Helder B.V.
20055061,"J.B. Dams, h.o.n. Johan Dams Transport"
23079659,Internationaal Transportbedrijf M. van den Heuvel B.V.
20025465,Van Tilburg Afvalverwerking B.V.
18022171,Paulissen Transport B.V.
10015877,Janco Visser Transport B.V.
23056834,"E.J. van Putte, h.o.n. Van Putte Transport"
28043942,Van Leeuwen Containers B.V.
28004797,V.o.f. Firma Schaddé van Dooren
24488726,Gemeente Sliedrecht
32086223,T.J. Kippersluis en Zn. B.V.
14014459,Dassen Transport B.V.
09011227,Van Dalen Huissen B.V.
17075083,Jos van den Elzen en Zonen B.V.
14606537,Peterson Maastricht B.V. 
16011450,V.O.F. Fa. G. Coenen en Zonen
14626359,B.V. Internationale Transport- en Handelsonderneming H.M.L. Wijnands
22039162,Van Keulen Transport B.V. 
24304498,N.V. Irado
12022277,V.o.f. Loonbedrijf Firma Jakobs
16070257,Wingens Transport B.V.
05067036,Recycling Kampen Containers en Transport B.V.
01172164,Gemeente Smallingerland
32164984,Gemeente Almere
06068867,Huiskamp B.V.
14618789,Transportbedrijf Schreurs V.o.f.
27099985,Jan Knijnenburg B.V.
09070487,Hoftijzer Verhuur- en Aannemingsbedrijf B.V.
18127769,Pluijm Transport B.V.
13024970,"Transportbedrijf Midden Limburg B.V., h.o.n. Kiggen Transport"
32036070,Teeuwissen Rioolreiniging Huizen B.V.
51791811,Gemeente Súdwest Fryslân
04041600,Boersma Vastgoed en Materieel Beheer B.V.
75159732,Kamstra Transport & Verhuur
22026444,Kole Transport B.V.
10028432,Swartjes Transport B.V.
16067200,Beekmans Recycling B.V.
16067199,Beekmans Transport B.V.
08098831,Hoftijzer Logistiek B.V.
17023682,Van Hoof Containers en Recycling B.V.
12054154,Baets B.V.
23047545,Gebroeders Zijderveld B.V.
21001350,Gebr. van de Wege B.V.
05085581,Gromes-Plender Beheer B.V.
20049918,Gebroeders Snellen Holding B.V.
17020677,"H.W.M. Spanjers, h.o.n. Loon- en Grondverzetbedrijf H. Spanjers"
22036624,Schrier Int. Transport C.V.
20075536,Houtvezel Moerdijk B.V.
24253638,Jac. Barendregt Transport B.V.
23042676,Adico Milieutechniek B.V.
17111907,Transport en Recycling Arno van den Dungen B.V.
22027979,V.o.f. Firma C. Paauwe en Zoon
64766950,Avri
71443215,"Kleuskens containers, recyling, zand/grind"
13039213,Janssen Transport Weert B.V.
38024254,B. Evers Transport V.o.f.
14035267,Installatiebedrijf J. Daniels B.V.
39048437,V.o.f. Firma Zeevisgroothandel T. Bakker en Zonen
12020535,Muysers Potgrond B.V.
20036910,Remondis PMR B.V.
23047258,Allgroen B.V.
01092980,Jaarsma Grondverzet B.V.
12025356,Loonbedrijf Maas B.V.
12017927,Straalbedrijf van Maanen B.V.
09133405,"J.W.B. Kasteel, h.o.n. Han Kasteel Handel en Transport"
05035472,Hamstra Schroothandel Vollenhove
32005612,Willard Internationaal Handel-Transportbedrijf B.V.
34122776,"H. Oostwouder, h.o.n. Oostwouder Transportonderneming"
20042489,Heeren Transport B.V.
14610190,Transportbedrijf Bessems V.o.f.
29023032,"H.J. Kraan, h.o.n. Fa. C. Kraan & Zn."
17053881,M. van Happen Transport B.V.
06061392,Transportbedrijf H.A. Lemans B.V.
29012283,B.V. Transportonderneming Zijderlaan
06039460,Gebr. Van Engelen B.V.
35016668,Sturm B.V.
06039526,Rouwmaat Hengelo B.V.
17011021,V.o.f. Smolders Int. Vee en Goederentransport
06049211,Langezaal Transport B.V.
36034879,Kras Recycling B.V.
